Timestamp;TSP [ug/m3];PM10 [ug/m3];PM4 [ug/m3];PM2,5 [ug/m3];PM1 [ug/m3];PMcoarse [ug/m3];Inhalable [ug/m3];Thoracic [ug/m3];Respirable [ug/m3];pm10-IAQ [ug/m3];pm2,5-IAQ [ug/m3];pm1-IAQ [ug/m3]
06-01-2023 10:20;36;33;18;8;4;25;35;33;15;35;6;3
06-01-2023 10:20;51;31;13;7;4;24;47;38;12;37;5;3
06-01-2023 10:21;307;34;8;6;4;27;179;65;8;45;5;3
06-01-2023 10:21;671;6;6;6;4;0;19766;86;5;5;4;3
06-01-2023 10:21;2166;85;45;19;3;66;3259;124;35;91;15;3
06-01-2023 10:21;13;11;7;4;3;6;11;10;6;11;3;2
06-01-2023 10:21;2;2;2;2;2;0;1;1;1;1;1;1
06-01-2023 10:21;3;3;3;3;3;0;2;2;2;2;2;2
06-01-2023 10:21;2;2;2;2;2;0;2;2;2;2;2;2
06-01-2023 10:21;2;2;2;2;2;0;2;2;2;2;2;2
06-01-2023 10:21;15687;377;38;6;4;371;16838;1111;47;548;4;3
06-01-2023 10:21;5325;4;4;3;3;0;8922;45;3;3;3;2
06-01-2023 10:22;5693;37;8;3;2;34;3525;154;8;50;2;2
06-01-2023 10:22;1238;150;119;51;5;99;583;165;89;126;38;4
06-01-2023 10:22;7;7;6;4;3;2;5;5;5;5;3;2
06-01-2023 10:22;29;12;11;6;3;6;503;11;8;9;5;2
06-01-2023 10:22;3;3;3;3;3;0;2;2;2;2;2;2
06-01-2023 10:22;2;2;2;2;2;0;2;2;2;2;2;2
06-01-2023 10:22;3;3;3;3;2;0;2;2;2;2;2;2
06-01-2023 10:22;28;22;15;9;4;13;24;21;12;22;7;3
06-01-2023 10:22;66;23;16;10;4;13;48;30;13;23;7;3
06-01-2023 10:22;38;32;20;11;4;20;35;32;17;33;8;3
06-01-2023 10:23;54;35;18;8;4;26;50;42;17;40;6;3
06-01-2023 10:23;63;26;12;7;3;19;52;36;10;31;5;3
06-01-2023 10:23;131;39;19;9;4;30;92;52;17;45;7;3
06-01-2023 10:23;23;23;17;8;4;14;21;21;14;21;6;3
06-01-2023 10:23;72;30;13;8;4;21;57;40;11;35;6;3
06-01-2023 10:23;25;23;16;8;3;14;23;22;13;23;6;3
06-01-2023 10:23;63;46;19;9;4;37;61;52;16;55;7;3
06-01-2023 10:23;124;39;27;12;4;26;81;45;22;37;9;3
06-01-2023 10:23;36;23;10;8;4;15;33;27;8;27;6;3
06-01-2023 10:23;67;32;19;9;4;22;52;37;16;32;7;3
06-01-2023 10:24;40;39;30;14;4;25;35;34;24;35;11;3
06-01-2023 10:24;98;34;13;8;4;26;78;51;12;42;6;3
06-01-2023 10:24;30;27;16;8;3;19;28;27;13;28;6;3
06-01-2023 10:24;153;52;22;10;4;42;111;67;19;61;7;3
06-01-2023 10:24;111;41;16;7;4;33;87;58;15;49;6;3
06-01-2023 10:24;25;24;18;10;4;14;23;22;15;23;7;3
06-01-2023 10:24;63;40;18;8;4;32;57;47;16;47;6;3
06-01-2023 10:24;111;31;18;9;4;21;75;41;16;33;7;3
06-01-2023 10:24;60;36;19;10;5;25;52;41;16;39;8;4
06-01-2023 10:24;61;35;17;9;4;26;52;41;14;39;7;3
06-01-2023 10:25;44;26;18;10;4;16;35;28;15;25;7;3
06-01-2023 10:25;149;57;28;14;4;42;115;76;24;64;11;3
06-01-2023 10:25;42;34;15;9;5;25;45;40;15;42;7;4
06-01-2023 10:25;61;26;15;9;5;16;47;32;12;27;7;4
06-01-2023 10:25;28;26;18;9;5;16;26;25;15;26;7;4
06-01-2023 10:25;42;24;17;9;5;15;31;24;13;21;7;4
06-01-2023 10:25;28;27;18;9;4;18;27;26;14;27;7;3
06-01-2023 10:25;61;25;14;8;4;17;47;32;11;26;6;3
06-01-2023 10:25;44;37;20;9;4;28;45;42;19;43;7;3
06-01-2023 10:25;33;26;17;8;4;18;27;24;13;24;6;3
06-01-2023 10:26;50;35;14;7;4;27;46;39;12;41;6;3
06-01-2023 10:26;54;43;21;10;4;33;53;47;18;50;8;3
06-01-2023 10:26;53;33;17;8;4;24;46;37;14;36;6;3
06-01-2023 10:26;51;50;37;17;4;32;45;44;29;45;13;3
06-01-2023 10:26;41;34;19;10;4;24;39;35;16;36;7;3
06-01-2023 10:26;42;23;11;7;4;16;37;29;10;27;5;3
06-01-2023 10:26;20;20;14;6;3;13;18;18;11;18;5;3
06-01-2023 10:26;42;24;15;9;4;14;33;26;13;23;7;3
06-01-2023 10:26;47;27;11;5;3;22;43;34;10;33;4;2
06-01-2023 10:26;32;31;19;9;4;21;31;29;16;31;7;3
06-01-2023 10:27;27;26;17;8;4;18;26;25;14;26;6;3
06-01-2023 10:27;71;23;14;7;4;16;51;31;11;23;5;3
06-01-2023 10:27;66;21;11;6;4;14;49;30;9;24;5;3
06-01-2023 10:27;232;24;15;8;3;16;128;43;12;24;6;2
06-01-2023 10:27;49;29;12;6;4;22;46;36;12;35;5;3
06-01-2023 10:27;20;18;11;6;3;12;20;18;9;20;5;3
06-01-2023 10:27;135;40;15;8;4;32;96;54;13;49;6;3
06-01-2023 10:27;18;18;14;8;4;10;17;16;11;17;6;3
06-01-2023 10:27;42;33;14;8;4;24;41;36;12;39;6;3
06-01-2023 10:27;24;23;14;8;4;15;25;24;12;25;6;3
06-01-2023 10:28;160;32;17;7;3;24;104;50;14;34;5;3
06-01-2023 10:28;46;36;19;9;4;26;42;37;15;39;7;3
06-01-2023 10:28;47;39;21;10;4;29;43;39;17;41;7;3
06-01-2023 10:28;44;42;26;11;3;30;42;40;22;42;8;3
06-01-2023 10:28;64;22;14;9;4;13;47;30;12;22;7;3
06-01-2023 10:28;83;32;13;6;3;26;66;44;12;38;5;2
06-01-2023 10:28;33;26;17;8;4;17;29;26;14;26;6;3
06-01-2023 10:28;51;30;12;5;3;25;48;38;11;37;4;3
06-01-2023 10:28;31;25;15;8;4;17;28;25;12;26;6;3
06-01-2023 10:28;30;27;12;6;4;21;33;31;12;33;5;3
06-01-2023 10:29;112;29;14;7;3;22;75;39;12;33;5;2
06-01-2023 10:29;18;18;14;7;4;11;16;15;11;16;5;3
06-01-2023 10:29;64;22;17;8;3;14;43;26;13;18;6;3
06-01-2023 10:29;39;31;17;9;4;22;36;32;15;34;7;3
06-01-2023 10:29;26;24;15;9;4;14;24;22;12;23;7;3
