,id,fecha,hora,id_sensor,version,letra,pm_25,pm_1,pm_10,delta_t,lon,lat,cal,comentario,GMT,time_cl
86993,39,01-01-2015,1420082359,G05,quintero ,b,18,11,20,5291,,,calibracion,,2015-01-01 03:19:20,2014-12-31 23:19:20
86994,40,01-01-2015,1420082364,G05,quintero ,b,15,9,16,5298,,,calibracion,,2015-01-01 03:19:20,2014-12-31 23:19:20
86995,41,01-01-2015,1420082369,G05,quintero ,b,15,10,18,5295,,,calibracion,,2015-01-01 03:19:30,2014-12-31 23:19:30
86996,42,01-01-2015,1420082375,G05,quintero ,b,16,10,19,5298,,,calibracion,,2015-01-01 03:19:40,2014-12-31 23:19:40
86997,43,01-01-2015,1420082380,G05,quintero ,b,15,10,16,5298,,,calibracion,,2015-01-01 03:19:40,2014-12-31 23:19:40
86998,44,01-01-2015,1420082385,G05,quintero ,b,15,10,15,5296,,,calibracion,,2015-01-01 03:19:40,2014-12-31 23:19:40
86999,45,01-01-2015,1420082391,G05,quintero ,b,16,10,16,5298,,,calibracion,,2015-01-01 03:19:50,2014-12-31 23:19:50
87000,46,01-01-2015,1420082396,G05,quintero ,b,17,11,17,5297,,,calibracion,,2015-01-01 03:20:00,2014-12-31 23:20:00
87001,47,01-01-2015,1420082401,G05,quintero ,b,17,10,17,5298,-71.52909166666667,-32.78494666666666,calibracion,,2015-01-01 03:20:00,2014-12-31 23:20:00
87002,48,01-01-2015,1420082407,G05,quintero ,b,19,11,21,5299,-71.52909166666667,-32.78494666666666,calibracion,,2015-01-01 03:20:10,2014-12-31 23:20:10
87003,49,01-01-2015,1420082412,G05,quintero ,b,20,12,22,5298,-71.52909166666667,-32.78494666666666,calibracion,,2015-01-01 03:20:10,2014-12-31 23:20:10
87004,50,01-01-2015,1420082417,G05,quintero ,b,20,12,22,5298,-71.52909166666667,-32.78494666666666,calibracion,,2015-01-01 03:20:20,2014-12-31 23:20:20
87005,51,01-01-2015,1420082422,G05,quintero ,b,17,11,21,5296,-71.52909166666667,-32.78494666666666,calibracion,,2015-01-01 03:20:20,2014-12-31 23:20:20
87006,52,01-01-2015,1420082428,G05,quintero ,b,18,12,20,5297,-71.52909166666667,-32.78494666666666,calibracion,,2015-01-01 03:20:30,2014-12-31 23:20:30
87007,53,01-01-2015,1420082433,G05,quintero ,b,17,12,20,5295,-71.52909166666667,-32.78494666666666,calibracion,,2015-01-01 03:20:30,2014-12-31 23:20:30
87008,54,01-01-2015,1420082438,G05,quintero ,b,18,13,18,5297,-71.52909166666667,-32.78494666666666,calibracion,,2015-01-01 03:20:40,2014-12-31 23:20:40
87009,55,01-01-2015,1420082444,G05,quintero ,b,19,13,19,5298,-71.52909166666667,-32.78494666666666,calibracion,,2015-01-01 03:20:40,2014-12-31 23:20:40
87010,56,01-01-2015,1420082449,G05,quintero ,b,22,14,23,5297,-71.52909166666667,-32.78494666666666,calibracion,,2015-01-01 03:20:50,2014-12-31 23:20:50
87011,57,01-01-2015,1420082454,G05,quintero ,b,22,15,23,5297,-71.52909166666667,-32.78494666666666,calibracion,,2015-01-01 03:20:50,2014-12-31 23:20:50
87012,58,01-01-2015,1420082460,G05,quintero ,b,21,15,23,5296,-71.52909166666667,-32.78494666666666,calibracion,,2015-01-01 03:21:00,2014-12-31 23:21:00
87013,59,01-01-2015,1420082465,G05,quintero ,b,21,14,22,5297,-71.52842833333334,-32.78502,calibracion,,2015-01-01 03:21:00,2014-12-31 23:21:00
87014,60,01-01-2015,1420082470,G05,quintero ,b,22,14,23,5297,-71.52842833333334,-32.78502,calibracion,,2015-01-01 03:21:10,2014-12-31 23:21:10
87015,61,01-01-2015,1420082475,G05,quintero ,b,19,14,21,5297,-71.52842833333334,-32.78502,calibracion,,2015-01-01 03:21:20,2014-12-31 23:21:20
87016,62,01-01-2015,1420082481,G05,quintero ,b,22,14,23,5298,-71.52842833333334,-32.78502,calibracion,,2015-01-01 03:21:20,2014-12-31 23:21:20
87017,63,01-01-2015,1420082486,G05,quintero ,b,21,13,22,5297,-71.52842833333334,-32.78502,calibracion,,2015-01-01 03:21:30,2014-12-31 23:21:30
87018,64,01-01-2015,1420082491,G05,quintero ,b,21,13,22,5297,-71.52842833333334,-32.78502,calibracion,,2015-01-01 03:21:30,2014-12-31 23:21:30
87019,65,01-01-2015,1420082497,G05,quintero ,b,20,13,20,5298,-71.52842833333334,-32.78502,calibracion,,2015-01-01 03:21:40,2014-12-31 23:21:40
87020,66,01-01-2015,1420082502,G05,quintero ,b,22,13,22,5297,-71.52842833333334,-32.78502,calibracion,,2015-01-01 03:21:40,2014-12-31 23:21:40
87021,67,01-01-2015,1420082507,G05,quintero ,b,22,13,22,5296,-71.52842833333334,-32.78502,calibracion,,2015-01-01 03:21:50,2014-12-31 23:21:50
87022,68,01-01-2015,1420082512,G05,quintero ,b,21,13,21,5297,-71.52842833333334,-32.78502,calibracion,,2015-01-01 03:21:50,2014-12-31 23:21:50
87023,69,01-01-2015,1420082518,G05,quintero ,b,24,13,24,5296,-71.52842833333334,-32.78502,calibracion,,2015-01-01 03:22:00,2014-12-31 23:22:00
87024,70,01-01-2015,1420082523,G05,quintero ,b,24,13,25,5297,-71.52854,-32.783435000000004,calibracion,,2015-01-01 03:22:00,2014-12-31 23:22:00
87025,71,01-01-2015,1420082528,G05,quintero ,b,23,13,26,5297,-71.52854,-32.783435000000004,calibracion,,2015-01-01 03:22:10,2014-12-31 23:22:10
87026,72,01-01-2015,1420082534,G05,quintero ,b,23,13,26,5298,-71.52854,-32.783435000000004,calibracion,,2015-01-01 03:22:10,2014-12-31 23:22:10
87027,73,01-01-2015,1420082539,G05,quintero ,b,22,12,26,5297,-71.52854,-32.783435000000004,calibracion,,2015-01-01 03:22:20,2014-12-31 23:22:20
87028,74,01-01-2015,1420082544,G05,quintero ,b,21,12,24,5297,-71.52854,-32.783435000000004,calibracion,,2015-01-01 03:22:20,2014-12-31 23:22:20
87029,75,01-01-2015,1420082550,G05,quintero ,b,19,12,23,5298,-71.52854,-32.783435000000004,calibracion,,2015-01-01 03:22:30,2014-12-31 23:22:30
87030,76,01-01-2015,1420082555,G05,quintero ,b,19,11,22,5297,-71.52854,-32.783435000000004,calibracion,,2015-01-01 03:22:40,2014-12-31 23:22:40
87031,77,01-01-2015,1420082560,G05,quintero ,b,17,11,19,5298,-71.52854,-32.783435000000004,calibracion,,2015-01-01 03:22:40,2014-12-31 23:22:40
87032,78,01-01-2015,1420082565,G05,quintero ,b,15,10,16,5295,-71.52854,-32.783435000000004,calibracion,,2015-01-01 03:22:40,2014-12-31 23:22:40
87033,79,01-01-2015,1420082571,G05,quintero ,b,15,10,16,5297,-71.52854,-32.783435000000004,calibracion,,2015-01-01 03:22:50,2014-12-31 23:22:50
87034,80,01-01-2015,1420082576,G05,quintero ,b,15,10,15,5298,-71.52854,-32.783435000000004,calibracion,,2015-01-01 03:23:00,2014-12-31 23:23:00
87035,81,01-01-2015,1420082581,G05,quintero ,b,15,11,18,5297,-71.52854,-32.783435000000004,calibracion,,2015-01-01 03:23:00,2014-12-31 23:23:00
87036,82,01-01-2015,1420082587,G05,quintero ,b,16,11,19,5298,-71.52854,-32.783435000000004,calibracion,,2015-01-01 03:23:10,2014-12-31 23:23:10
87037,83,01-01-2015,1420082592,G05,quintero ,b,16,11,20,5298,-71.52854,-32.783435000000004,calibracion,,2015-01-01 03:23:10,2014-12-31 23:23:10
87038,84,01-01-2015,1420082597,G05,quintero ,b,16,12,21,5298,-71.52837,-32.784704999999995,calibracion,,2015-01-01 03:23:20,2014-12-31 23:23:20
87039,85,01-01-2015,1420082603,G05,quintero ,b,15,11,19,5298,-71.52837,-32.784704999999995,calibracion,,2015-01-01 03:23:20,2014-12-31 23:23:20
87040,86,01-01-2015,1420082608,G05,quintero ,b,17,12,18,5298,-71.52837,-32.784704999999995,calibracion,,2015-01-01 03:23:30,2014-12-31 23:23:30
87041,87,01-01-2015,1420082613,G05,quintero ,b,21,11,23,5297,-71.52837,-32.784704999999995,calibracion,,2015-01-01 03:23:30,2014-12-31 23:23:30
87042,88,01-01-2015,1420082618,G05,quintero ,b,22,11,24,5297,-71.52837,-32.784704999999995,calibracion,,2015-01-01 03:23:40,2014-12-31 23:23:40
87043,89,01-01-2015,1420082624,G05,quintero ,b,22,12,24,5297,-71.52837,-32.784704999999995,calibracion,,2015-01-01 03:23:40,2014-12-31 23:23:40
87044,90,01-01-2015,1420082629,G05,quintero ,b,19,12,24,5297,-71.52837,-32.784704999999995,calibracion,,2015-01-01 03:23:50,2014-12-31 23:23:50
87045,91,01-01-2015,1420082634,G05,quintero ,b,19,12,22,5298,-71.52837,-32.784704999999995,calibracion,,2015-01-01 03:23:50,2014-12-31 23:23:50
87046,92,01-01-2015,1420082640,G05,quintero ,b,18,11,22,5297,-71.52837,-32.784704999999995,calibracion,,2015-01-01 03:24:00,2014-12-31 23:24:00
87047,93,01-01-2015,1420082645,G05,quintero ,b,18,12,21,5298,-71.52837,-32.784704999999995,calibracion,,2015-01-01 03:24:00,2014-12-31 23:24:00
87048,94,01-01-2015,1420082650,G05,quintero ,b,17,12,19,5297,-71.52837,-32.784704999999995,calibracion,,2015-01-01 03:24:10,2014-12-31 23:24:10
87049,95,01-01-2015,1420082656,G05,quintero ,b,19,13,23,5296,-71.52837,-32.784704999999995,calibracion,,2015-01-01 03:24:20,2014-12-31 23:24:20
87050,96,01-01-2015,1420082661,G05,quintero ,b,18,12,19,5298,-71.52836333333333,-32.78499166666666,calibracion,,2015-01-01 03:24:20,2014-12-31 23:24:20
87051,97,01-01-2015,1420082666,G05,quintero ,b,19,13,22,5297,-71.52836333333333,-32.78499166666666,calibracion,,2015-01-01 03:24:30,2014-12-31 23:24:30
87052,98,01-01-2015,1420082671,G05,quintero ,b,18,13,20,5297,-71.52836333333333,-32.78499166666666,calibracion,,2015-01-01 03:24:30,2014-12-31 23:24:30
