,id,fecha,hora,id_sensor,version,letra,pm_25,pm_1,pm_10,delta_t,lon,lat,cal,comentario,GMT,time_cl
77014,69,01-01-2015,1420147698,G05,quintero2,a,32,19,37,5291,,,calibracion,,2015-01-01 21:28:20,2015-01-01 17:28:20
77015,70,01-01-2015,1420147703,G05,quintero2,a,33,22,37,5298,,,calibracion,,2015-01-01 21:28:20,2015-01-01 17:28:20
77016,71,01-01-2015,1420147708,G05,quintero2,a,33,21,37,5298,-71.52835166666667,-32.78329833333333,calibracion,,2015-01-01 21:28:30,2015-01-01 17:28:30
77017,72,01-01-2015,1420147714,G05,quintero2,a,32,21,35,5298,-71.52835166666667,-32.78329833333333,calibracion,,2015-01-01 21:28:30,2015-01-01 17:28:30
77018,73,01-01-2015,1420147719,G05,quintero2,a,32,22,36,5297,-71.52835166666667,-32.78329833333333,calibracion,,2015-01-01 21:28:40,2015-01-01 17:28:40
77019,74,01-01-2015,1420147724,G05,quintero2,a,33,22,39,5297,-71.52835166666667,-32.78329833333333,calibracion,,2015-01-01 21:28:40,2015-01-01 17:28:40
77020,75,01-01-2015,1420147730,G05,quintero2,a,35,22,43,5298,-71.52835166666667,-32.78329833333333,calibracion,,2015-01-01 21:28:50,2015-01-01 17:28:50
77021,76,01-01-2015,1420147735,G05,quintero2,a,36,22,45,5298,-71.52835166666667,-32.78329833333333,calibracion,,2015-01-01 21:29:00,2015-01-01 17:29:00
77022,77,01-01-2015,1420147740,G05,quintero2,a,36,22,45,5298,-71.52835166666667,-32.78329833333333,calibracion,,2015-01-01 21:29:00,2015-01-01 17:29:00
77023,78,01-01-2015,1420147745,G05,quintero2,a,35,22,44,5298,-71.52835166666667,-32.78329833333333,calibracion,,2015-01-01 21:29:00,2015-01-01 17:29:00
77024,79,01-01-2015,1420147751,G05,quintero2,a,34,21,43,5297,-71.52835166666667,-32.78329833333333,calibracion,,2015-01-01 21:29:10,2015-01-01 17:29:10
77025,80,01-01-2015,1420147756,G05,quintero2,a,35,22,43,5297,-71.52835166666667,-32.78380166666667,calibracion,,2015-01-01 21:29:20,2015-01-01 17:29:20
77026,81,01-01-2015,1420147761,G05,quintero2,a,32,20,39,5297,-71.52835166666667,-32.78380166666667,calibracion,,2015-01-01 21:29:20,2015-01-01 17:29:20
77027,82,01-01-2015,1420147767,G05,quintero2,a,32,20,38,5298,-71.52835166666667,-32.78380166666667,calibracion,,2015-01-01 21:29:30,2015-01-01 17:29:30
77028,83,01-01-2015,1420147772,G05,quintero2,a,33,20,39,5298,-71.52835166666667,-32.78380166666667,calibracion,,2015-01-01 21:29:30,2015-01-01 17:29:30
77029,84,01-01-2015,1420147777,G05,quintero2,a,32,19,35,5298,-71.52835166666667,-32.78380166666667,calibracion,,2015-01-01 21:29:40,2015-01-01 17:29:40
77030,85,01-01-2015,1420147783,G05,quintero2,a,35,23,42,5298,-71.52835166666667,-32.78380166666667,calibracion,,2015-01-01 21:29:40,2015-01-01 17:29:40
77031,86,01-01-2015,1420147788,G05,quintero2,a,34,22,43,5298,-71.52835166666667,-32.78380166666667,calibracion,,2015-01-01 21:29:50,2015-01-01 17:29:50
77032,87,01-01-2015,1420147793,G05,quintero2,a,36,23,46,5296,-71.52835166666667,-32.78380166666667,calibracion,,2015-01-01 21:29:50,2015-01-01 17:29:50
77033,88,01-01-2015,1420147798,G05,quintero2,a,35,23,44,5298,-71.52835166666667,-32.78380166666667,calibracion,,2015-01-01 21:30:00,2015-01-01 17:30:00
77034,89,01-01-2015,1420147804,G05,quintero2,a,36,23,45,5297,-71.52860833333334,-32.78347833333333,calibracion,,2015-01-01 21:30:00,2015-01-01 17:30:00
77035,90,01-01-2015,1420147809,G05,quintero2,a,33,21,37,5298,-71.52860833333334,-32.78347833333333,calibracion,,2015-01-01 21:30:10,2015-01-01 17:30:10
77036,91,01-01-2015,1420147814,G05,quintero2,a,34,21,40,5298,-71.52860833333334,-32.78347833333333,calibracion,,2015-01-01 21:30:10,2015-01-01 17:30:10
77037,92,01-01-2015,1420147820,G05,quintero2,a,33,21,38,5297,-71.52860833333334,-32.78347833333333,calibracion,,2015-01-01 21:30:20,2015-01-01 17:30:20
