,id,fecha,hora,id_sensor,version,letra,pm_25,pm_1,pm_10,delta_t,lon,lat,cal,comentario,GMT,time_cl
37532,25,03-08-2022,1659544133,G02,quintero,s,20,13,21,5291,,,sesion,,2022-08-03 16:28:50,2022-08-03 12:28:50
37533,26,03-08-2022,1659544138,G02,quintero,s,23,15,24,5298,,,calibracion,,2022-08-03 16:29:00,2022-08-03 12:29:00
37534,27,03-08-2022,1659544143,G02,quintero,s,28,17,31,5298,,,calibracion,,2022-08-03 16:29:00,2022-08-03 12:29:00
37535,28,03-08-2022,1659544149,G02,quintero,s,29,16,32,5297,,,calibracion,,2022-08-03 16:29:10,2022-08-03 12:29:10
37536,29,03-08-2022,1659544154,G02,quintero,s,30,18,30,5298,-71.528385,-32.784175,calibracion,,2022-08-03 16:29:10,2022-08-03 12:29:10
37537,30,03-08-2022,1659544159,G02,quintero,s,28,16,28,5298,-71.528385,-32.784175,calibracion,,2022-08-03 16:29:20,2022-08-03 12:29:20
37538,31,03-08-2022,1659544164,G02,quintero,s,25,16,26,5298,-71.528385,-32.784175,calibracion,,2022-08-03 16:29:20,2022-08-03 12:29:20
37539,32,03-08-2022,1659544170,G02,quintero,s,24,15,26,5297,-71.528385,-32.784175,calibracion,,2022-08-03 16:29:30,2022-08-03 12:29:30
37540,33,03-08-2022,1659544175,G02,quintero,s,26,16,28,5297,-71.528385,-32.784175,calibracion,,2022-08-03 16:29:40,2022-08-03 12:29:40
37541,34,03-08-2022,1659544180,G02,quintero,s,24,15,26,5298,-71.528385,-32.784175,calibracion,,2022-08-03 16:29:40,2022-08-03 12:29:40
37542,35,03-08-2022,1659544186,G02,quintero,s,23,15,24,5298,-71.528385,-32.784175,calibracion,,2022-08-03 16:29:50,2022-08-03 12:29:50
37543,36,03-08-2022,1659544191,G02,quintero,s,25,17,25,5298,-71.528385,-32.784175,calibracion,,2022-08-03 16:29:50,2022-08-03 12:29:50
37544,37,03-08-2022,1659544196,G02,quintero,s,26,16,28,5297,-71.528385,-32.784175,calibracion,,2022-08-03 16:30:00,2022-08-03 12:30:00
37545,38,03-08-2022,1659544202,G02,quintero,s,22,15,25,5297,-71.528385,-32.784175,calibracion,,2022-08-03 16:30:00,2022-08-03 12:30:00
37546,39,03-08-2022,1659544207,G02,quintero,s,22,15,23,5298,-71.528385,-32.784175,calibracion,,2022-08-03 16:30:10,2022-08-03 12:30:10
37547,40,03-08-2022,1659544212,G02,quintero,s,22,16,24,5297,-71.528385,-32.784175,calibracion,,2022-08-03 16:30:10,2022-08-03 12:30:10
37548,41,03-08-2022,1659544217,G02,quintero,s,20,14,20,5297,-71.52802666666666,-32.78378166666666,calibracion,,2022-08-03 16:30:20,2022-08-03 12:30:20
37549,42,03-08-2022,1659544223,G02,quintero,s,20,15,20,5297,-71.52802666666666,-32.78378166666666,calibracion,,2022-08-03 16:30:20,2022-08-03 12:30:20
37550,43,03-08-2022,1659544228,G02,quintero,s,20,14,22,5298,-71.52802666666666,-32.78378166666666,calibracion,,2022-08-03 16:30:30,2022-08-03 12:30:30
37551,44,03-08-2022,1659544233,G02,quintero,s,20,14,23,5297,-71.52802666666666,-32.78378166666666,calibracion,,2022-08-03 16:30:30,2022-08-03 12:30:30
37552,45,03-08-2022,1659544239,G02,quintero,s,20,13,23,5298,-71.52802666666666,-32.78378166666666,calibracion,,2022-08-03 16:30:40,2022-08-03 12:30:40
37553,46,03-08-2022,1659544244,G02,quintero,s,21,14,24,5296,-71.52802666666666,-32.78378166666666,calibracion,,2022-08-03 16:30:40,2022-08-03 12:30:40
37554,47,03-08-2022,1659544249,G02,quintero,s,23,16,27,5297,-71.52802666666666,-32.78378166666666,calibracion,,2022-08-03 16:30:50,2022-08-03 12:30:50
37555,48,03-08-2022,1659544255,G02,quintero,s,22,15,25,5297,-71.52802666666666,-32.78378166666666,calibracion,,2022-08-03 16:31:00,2022-08-03 12:31:00
37556,49,03-08-2022,1659544260,G02,quintero,s,23,16,26,5297,-71.52802666666666,-32.78378166666666,calibracion,,2022-08-03 16:31:00,2022-08-03 12:31:00
37557,50,03-08-2022,1659544265,G02,quintero,s,24,17,27,5296,-71.52802666666666,-32.78378166666666,calibracion,,2022-08-03 16:31:00,2022-08-03 12:31:00
37558,51,03-08-2022,1659544270,G02,quintero,s,22,16,25,5297,-71.52802666666666,-32.78378166666666,calibracion,,2022-08-03 16:31:10,2022-08-03 12:31:10
37559,52,03-08-2022,1659544276,G02,quintero,s,21,14,24,5297,-71.52802666666666,-32.78378166666666,calibracion,,2022-08-03 16:31:20,2022-08-03 12:31:20
37560,53,03-08-2022,1659544281,G02,quintero,s,22,14,24,5298,-71.52802666666666,-32.78378166666666,calibracion,,2022-08-03 16:31:20,2022-08-03 12:31:20
37561,54,03-08-2022,1659544286,G02,quintero,s,24,15,25,5298,-71.52802666666666,-32.78378166666666,calibracion,,2022-08-03 16:31:30,2022-08-03 12:31:30
37562,55,03-08-2022,1659544292,G02,quintero,s,26,17,29,5298,-71.52837833333334,-32.78372333333333,calibracion,,2022-08-03 16:31:30,2022-08-03 12:31:30
37563,56,03-08-2022,1659544297,G02,quintero,s,26,16,30,5297,-71.52837833333334,-32.78372333333333,calibracion,,2022-08-03 16:31:40,2022-08-03 12:31:40
37564,57,03-08-2022,1659544302,G02,quintero,s,25,15,28,5297,-71.52837833333334,-32.78372333333333,calibracion,,2022-08-03 16:31:40,2022-08-03 12:31:40
37565,58,03-08-2022,1659544307,G02,quintero,s,24,14,29,5296,-71.52837833333334,-32.78372333333333,calibracion,,2022-08-03 16:31:50,2022-08-03 12:31:50
37566,59,03-08-2022,1659544313,G02,quintero,s,24,14,26,5297,-71.52837833333334,-32.78372333333333,calibracion,,2022-08-03 16:31:50,2022-08-03 12:31:50
37567,60,03-08-2022,1659544318,G02,quintero,s,23,13,23,5298,-71.52837833333334,-32.78372333333333,calibracion,,2022-08-03 16:32:00,2022-08-03 12:32:00
37568,61,03-08-2022,1659544323,G02,quintero,s,23,13,23,5297,-71.52837833333334,-32.78372333333333,calibracion,,2022-08-03 16:32:00,2022-08-03 12:32:00
37569,62,03-08-2022,1659544329,G02,quintero,s,24,14,24,5296,-71.52837833333334,-32.78372333333333,calibracion,,2022-08-03 16:32:10,2022-08-03 12:32:10
37570,63,03-08-2022,1659544334,G02,quintero,s,23,15,23,5298,-71.52837833333334,-32.78372333333333,calibracion,,2022-08-03 16:32:10,2022-08-03 12:32:10
37571,64,03-08-2022,1659544339,G02,quintero,s,22,16,23,5296,-71.52837833333334,-32.78372333333333,calibracion,,2022-08-03 16:32:20,2022-08-03 12:32:20
37572,65,03-08-2022,1659544345,G02,quintero,s,23,16,25,5297,-71.52837833333334,-32.78372333333333,calibracion,,2022-08-03 16:32:20,2022-08-03 12:32:20
37573,66,03-08-2022,1659544350,G02,quintero,s,23,16,24,5298,-71.52837833333334,-32.78372333333333,calibracion,,2022-08-03 16:32:30,2022-08-03 12:32:30
37574,67,03-08-2022,1659544355,G02,quintero,s,22,14,24,5297,-71.52837833333334,-32.78372333333333,calibracion,,2022-08-03 16:32:40,2022-08-03 12:32:40
37575,68,03-08-2022,1659544360,G02,quintero,s,24,16,27,5296,-71.528165,-32.78391333333333,calibracion,,2022-08-03 16:32:40,2022-08-03 12:32:40
37576,69,03-08-2022,1659544366,G02,quintero,s,24,16,26,5298,-71.528165,-32.78391333333333,calibracion,,2022-08-03 16:32:50,2022-08-03 12:32:50
37577,70,03-08-2022,1659544371,G02,quintero,s,24,16,26,5298,-71.528165,-32.78391333333333,calibracion,,2022-08-03 16:32:50,2022-08-03 12:32:50
37578,71,03-08-2022,1659544376,G02,quintero,s,24,15,27,5297,-71.528165,-32.78391333333333,calibracion,,2022-08-03 16:33:00,2022-08-03 12:33:00
37579,72,03-08-2022,1659544382,G02,quintero,s,26,16,28,5297,-71.528165,-32.78391333333333,calibracion,,2022-08-03 16:33:00,2022-08-03 12:33:00
37580,73,03-08-2022,1659544387,G02,quintero,s,25,16,27,5297,-71.528165,-32.78391333333333,calibracion,,2022-08-03 16:33:10,2022-08-03 12:33:10
37581,74,03-08-2022,1659544392,G02,quintero,s,23,15,24,5298,-71.528165,-32.78391333333333,calibracion,,2022-08-03 16:33:10,2022-08-03 12:33:10
37582,75,03-08-2022,1659544398,G02,quintero,s,26,18,27,5298,-71.528165,-32.78391333333333,calibracion,,2022-08-03 16:33:20,2022-08-03 12:33:20
37583,76,03-08-2022,1659544403,G02,quintero,s,26,16,28,5296,-71.528165,-32.78391333333333,calibracion,,2022-08-03 16:33:20,2022-08-03 12:33:20
37584,77,03-08-2022,1659544408,G02,quintero,s,24,13,24,5298,-71.528165,-32.78391333333333,calibracion,,2022-08-03 16:33:30,2022-08-03 12:33:30
