,id,fecha,hora,id_sensor,version,letra,pm_25,pm_1,pm_10,delta_t,lon,lat,cal,comentario,GMT,time_cl
49280,21,04-08-2022,1659648884,G07,quinteri,b,36,27,42,5291,,,sesion,,2022-08-04 21:34:40,2022-08-04 17:34:40
49281,22,04-08-2022,1659648889,G07,quinteri,b,20,12,20,5298,,,calibracion,,2022-08-04 21:34:50,2022-08-04 17:34:50
49282,23,04-08-2022,1659648895,G07,quinteri,b,18,12,18,5297,,,calibracion,,2022-08-04 21:35:00,2022-08-04 17:35:00
49283,24,04-08-2022,1659648900,G07,quinteri,b,19,13,19,5297,,,calibracion,,2022-08-04 21:35:00,2022-08-04 17:35:00
49284,25,04-08-2022,1659648905,G07,quinteri,b,17,11,18,5297,-71.52846333333333,-32.78345,calibracion,,2022-08-04 21:35:00,2022-08-04 17:35:00
49285,26,04-08-2022,1659648910,G07,quinteri,b,18,13,20,5298,-71.52846333333333,-32.78345,calibracion,,2022-08-04 21:35:10,2022-08-04 17:35:10
49286,27,04-08-2022,1659648916,G07,quinteri,b,20,13,22,5298,-71.52846333333333,-32.78345,calibracion,,2022-08-04 21:35:20,2022-08-04 17:35:20
49287,28,04-08-2022,1659648921,G07,quinteri,b,19,12,23,5297,-71.52846333333333,-32.78345,calibracion,,2022-08-04 21:35:20,2022-08-04 17:35:20
49288,29,04-08-2022,1659648926,G07,quinteri,b,22,13,25,5298,-71.52846333333333,-32.78345,calibracion,,2022-08-04 21:35:30,2022-08-04 17:35:30
49289,30,04-08-2022,1659648932,G07,quinteri,b,21,13,24,5298,-71.52846333333333,-32.78345,calibracion,,2022-08-04 21:35:30,2022-08-04 17:35:30
49290,31,04-08-2022,1659648937,G07,quinteri,b,21,13,25,5298,-71.52846333333333,-32.78345,calibracion,,2022-08-04 21:35:40,2022-08-04 17:35:40
49291,32,04-08-2022,1659648942,G07,quinteri,b,22,14,26,5298,-71.52846333333333,-32.78345,calibracion,,2022-08-04 21:35:40,2022-08-04 17:35:40
49292,33,04-08-2022,1659648948,G07,quinteri,b,21,13,22,5297,-71.52846333333333,-32.78345,calibracion,,2022-08-04 21:35:50,2022-08-04 17:35:50
49293,34,04-08-2022,1659648953,G07,quinteri,b,21,13,23,5297,-71.52846333333333,-32.78345,calibracion,,2022-08-04 21:35:50,2022-08-04 17:35:50
