,id,fecha,hora,id_sensor,version,letra,pm_25,pm_1,pm_10,delta_t,lon,lat,cal,comentario,GMT,time_cl
19974,313,05-07-2022,1657063320,G07,escuela,c,46,29,59,5291,,,calibracion,,2022-07-05 23:22:00,2022-07-05 19:22:00
19975,314,05-07-2022,1657063325,G07,escuela,c,47,31,59,5298,,,calibracion,,2022-07-05 23:22:00,2022-07-05 19:22:00
19976,315,05-07-2022,1657063331,G07,escuela,c,45,30,57,5297,,,calibracion,,2022-07-05 23:22:10,2022-07-05 19:22:10
19977,316,05-07-2022,1657063336,G07,escuela,c,44,30,52,5296,,,calibracion,,2022-07-05 23:22:20,2022-07-05 19:22:20
19978,317,05-07-2022,1657063341,G07,escuela,c,44,30,53,5298,,,calibracion,,2022-07-05 23:22:20,2022-07-05 19:22:20
19979,318,05-07-2022,1657063346,G07,escuela,c,46,30,57,5297,,,calibracion,,2022-07-05 23:22:30,2022-07-05 19:22:30
19980,319,05-07-2022,1657063352,G07,escuela,c,48,32,61,5297,,,calibracion,,2022-07-05 23:22:30,2022-07-05 19:22:30
19981,320,05-07-2022,1657063357,G07,escuela,c,50,34,63,5297,-72.06996666666667,-45.58320333333333,calibracion,,2022-07-05 23:22:40,2022-07-05 19:22:40
19982,321,05-07-2022,1657063362,G07,escuela,c,48,33,62,5296,-72.06996666666667,-45.58320333333333,calibracion,,2022-07-05 23:22:40,2022-07-05 19:22:40
19983,322,05-07-2022,1657063368,G07,escuela,c,46,32,59,5298,-72.06996666666667,-45.58320333333333,calibracion,,2022-07-05 23:22:50,2022-07-05 19:22:50
19984,323,05-07-2022,1657063373,G07,escuela,c,46,30,58,5297,-72.06996666666667,-45.58320333333333,calibracion,,2022-07-05 23:22:50,2022-07-05 19:22:50
19985,324,05-07-2022,1657063378,G07,escuela,c,45,29,56,5297,-72.06996666666667,-45.58320333333333,calibracion,,2022-07-05 23:23:00,2022-07-05 19:23:00
19986,325,05-07-2022,1657063383,G07,escuela,c,45,30,55,5297,-72.06996666666667,-45.58320333333333,calibracion,,2022-07-05 23:23:00,2022-07-05 19:23:00
19987,326,05-07-2022,1657063389,G07,escuela,c,45,30,57,5297,-72.06996666666667,-45.58320333333333,calibracion,,2022-07-05 23:23:10,2022-07-05 19:23:10
19988,327,05-07-2022,1657063394,G07,escuela,c,46,30,56,5297,-72.06996666666667,-45.58320333333333,calibracion,,2022-07-05 23:23:10,2022-07-05 19:23:10
19989,328,05-07-2022,1657063399,G07,escuela,c,45,30,56,5298,-72.06996666666667,-45.58320333333333,calibracion,,2022-07-05 23:23:20,2022-07-05 19:23:20
19990,329,05-07-2022,1657063405,G07,escuela,c,45,31,56,5298,-72.06996666666667,-45.58320333333333,calibracion,,2022-07-05 23:23:20,2022-07-05 19:23:20
19991,330,05-07-2022,1657063410,G07,escuela,c,45,31,56,5296,-72.06996666666667,-45.58320333333333,calibracion,,2022-07-05 23:23:30,2022-07-05 19:23:30
19992,354,05-07-2022,1657063537,G07,escuela,c,51,33,63,5291,-72.06988166666666,-45.58368,calibracion,,2022-07-05 23:25:40,2022-07-05 19:25:40
19993,355,05-07-2022,1657063542,G07,escuela,c,54,35,69,5297,-72.06988166666666,-45.58368,calibracion,,2022-07-05 23:25:40,2022-07-05 19:25:40
19994,356,05-07-2022,1657063548,G07,escuela,c,57,39,73,5298,-72.06988166666666,-45.58368,calibracion,,2022-07-05 23:25:50,2022-07-05 19:25:50
19995,357,05-07-2022,1657063553,G07,escuela,c,57,38,74,5296,-72.06988166666666,-45.58368,calibracion,,2022-07-05 23:25:50,2022-07-05 19:25:50
19996,358,05-07-2022,1657063558,G07,escuela,c,53,34,66,5298,-72.06988166666666,-45.58368,calibracion,,2022-07-05 23:26:00,2022-07-05 19:26:00
19997,359,05-07-2022,1657063563,G07,escuela,c,51,34,63,5297,-72.06988166666666,-45.58368,calibracion,,2022-07-05 23:26:00,2022-07-05 19:26:00
19998,360,05-07-2022,1657063569,G07,escuela,c,50,33,62,5297,-72.06988166666666,-45.58368,calibracion,,2022-07-05 23:26:10,2022-07-05 19:26:10
19999,361,05-07-2022,1657063574,G07,escuela,c,51,34,62,5298,-72.06988166666666,-45.58368,calibracion,,2022-07-05 23:26:10,2022-07-05 19:26:10
20000,362,05-07-2022,1657063579,G07,escuela,c,55,36,69,5296,-72.06988166666666,-45.58368,calibracion,,2022-07-05 23:26:20,2022-07-05 19:26:20
20001,363,05-07-2022,1657063585,G07,escuela,c,56,36,69,5297,-72.06988166666666,-45.58368,calibracion,,2022-07-05 23:26:20,2022-07-05 19:26:20
20002,364,05-07-2022,1657063590,G07,escuela,c,58,37,71,5296,-72.06988166666666,-45.58368,calibracion,,2022-07-05 23:26:30,2022-07-05 19:26:30
20003,365,05-07-2022,1657063595,G07,escuela,c,70,45,78,5296,-72.06988166666666,-45.58368,calibracion,,2022-07-05 23:26:40,2022-07-05 19:26:40
20004,366,05-07-2022,1657063601,G07,escuela,c,95,57,111,5296,-72.06984000000001,-45.58358333333334,calibracion,,2022-07-05 23:26:40,2022-07-05 19:26:40
20005,367,05-07-2022,1657063606,G07,escuela,c,117,71,138,5296,-72.06984000000001,-45.58358333333334,calibracion,,2022-07-05 23:26:50,2022-07-05 19:26:50
20006,368,05-07-2022,1657063611,G07,escuela,c,128,76,152,5297,-72.06984000000001,-45.58358333333334,sesion,,2022-07-05 23:26:50,2022-07-05 19:26:50
20007,369,05-07-2022,1657063616,G07,escuela,c,130,77,159,5298,-72.06984000000001,-45.58358333333334,sesion,,2022-07-05 23:27:00,2022-07-05 19:27:00
20008,370,05-07-2022,1657063622,G07,escuela,c,125,76,158,5298,-72.06984000000001,-45.58358333333334,sesion,,2022-07-05 23:27:00,2022-07-05 19:27:00
20009,371,05-07-2022,1657063627,G07,escuela,c,104,66,129,5297,-72.06984000000001,-45.58358333333334,sesion,,2022-07-05 23:27:10,2022-07-05 19:27:10
20010,372,05-07-2022,1657063632,G07,escuela,c,90,59,99,5298,-72.06984000000001,-45.58358333333334,sesion,,2022-07-05 23:27:10,2022-07-05 19:27:10
20011,373,05-07-2022,1657063638,G07,escuela,c,80,56,90,5297,-72.07007833333334,-45.58344333333333,sesion,,2022-07-05 23:27:20,2022-07-05 19:27:20
20012,374,05-07-2022,1657063643,G07,escuela,c,86,59,95,5297,-72.07007833333334,-45.58344333333333,sesion,,2022-07-05 23:27:20,2022-07-05 19:27:20
20013,375,05-07-2022,1657063648,G07,escuela,c,88,61,92,5298,-72.07007833333334,-45.58344333333333,sesion,,2022-07-05 23:27:30,2022-07-05 19:27:30
20014,376,05-07-2022,1657063653,G07,escuela,c,87,59,91,5296,-72.07007833333334,-45.58344333333333,sesion,,2022-07-05 23:27:30,2022-07-05 19:27:30
20015,377,05-07-2022,1657063659,G07,escuela,c,84,57,87,5297,-72.07007833333334,-45.58344333333333,sesion,,2022-07-05 23:27:40,2022-07-05 19:27:40
20016,378,05-07-2022,1657063664,G07,escuela,c,88,58,90,5297,-72.07007833333334,-45.58344333333333,sesion,,2022-07-05 23:27:40,2022-07-05 19:27:40
20017,379,05-07-2022,1657063669,G07,escuela,c,88,58,92,5298,-72.07007833333334,-45.58344333333333,sesion,,2022-07-05 23:27:50,2022-07-05 19:27:50
20018,380,05-07-2022,1657063675,G07,escuela,c,84,56,92,5298,-72.07007833333334,-45.58344333333333,sesion,,2022-07-05 23:28:00,2022-07-05 19:28:00
20019,381,05-07-2022,1657063680,G07,escuela,c,81,54,88,5297,-72.07045333333333,-45.583075,sesion,,2022-07-05 23:28:00,2022-07-05 19:28:00
20020,382,05-07-2022,1657063685,G07,escuela,c,74,50,84,5297,-72.07045333333333,-45.583075,sesion,,2022-07-05 23:28:00,2022-07-05 19:28:00
20021,383,05-07-2022,1657063691,G07,escuela,c,60,41,73,5297,-72.07045333333333,-45.583075,sesion,,2022-07-05 23:28:10,2022-07-05 19:28:10
20022,384,05-07-2022,1657063696,G07,escuela,c,55,36,70,5296,-72.07045333333333,-45.583075,sesion,,2022-07-05 23:28:20,2022-07-05 19:28:20
20023,385,05-07-2022,1657063701,G07,escuela,c,54,35,69,5297,-72.07045333333333,-45.583075,sesion,,2022-07-05 23:28:20,2022-07-05 19:28:20
20024,386,05-07-2022,1657063706,G07,escuela,c,56,37,72,5298,-72.07045333333333,-45.583075,sesion,,2022-07-05 23:28:30,2022-07-05 19:28:30
20025,387,05-07-2022,1657063712,G07,escuela,c,67,46,79,5297,-72.07045333333333,-45.583075,sesion,,2022-07-05 23:28:30,2022-07-05 19:28:30
20026,388,05-07-2022,1657063717,G07,escuela,c,78,50,85,5297,-72.07084833333333,-45.58278166666667,sesion,,2022-07-05 23:28:40,2022-07-05 19:28:40
20027,389,05-07-2022,1657063722,G07,escuela,c,85,54,100,5297,-72.07084833333333,-45.58278166666667,sesion,,2022-07-05 23:28:40,2022-07-05 19:28:40
20028,390,05-07-2022,1657063728,G07,escuela,c,93,59,111,5296,-72.07084833333333,-45.58278166666667,sesion,,2022-07-05 23:28:50,2022-07-05 19:28:50
20029,391,05-07-2022,1657063733,G07,escuela,c,178,106,200,5297,-72.07084833333333,-45.58278166666667,sesion,,2022-07-05 23:28:50,2022-07-05 19:28:50
