,id,fecha,hora,id_sensor,version,letra,pm_25,pm_1,pm_10,delta_t,lon,lat,cal,comentario,GMT,time_cl
82374,10,16-08-2022,1660663510,F01,quintwro,j,16,10,18,5341,,,sesion,,2022-08-16 15:25:10,2022-08-16 11:25:10
82375,11,16-08-2022,1660663515,F01,quintwro,j,22,9,24,5348,,,sesion,,2022-08-16 15:25:20,2022-08-16 11:25:20
82376,12,16-08-2022,1660663520,F01,quintwro,j,30,9,35,5347,,,sesion,,2022-08-16 15:25:20,2022-08-16 11:25:20
82377,13,16-08-2022,1660663526,F01,quintwro,j,27,10,30,5347,,,sesion,,2022-08-16 15:25:30,2022-08-16 11:25:30
82378,14,16-08-2022,1660663531,F01,quintwro,j,25,10,27,5348,,,sesion,,2022-08-16 15:25:30,2022-08-16 11:25:30
82379,15,16-08-2022,1660663537,F01,quintwro,j,22,10,25,5347,-71.52716333333333,-32.78186333333333,sesion,,2022-08-16 15:25:40,2022-08-16 11:25:40
82380,16,16-08-2022,1660663542,F01,quintwro,j,20,9,24,5347,-71.52716333333333,-32.78186333333333,sesion,,2022-08-16 15:25:40,2022-08-16 11:25:40
82381,17,16-08-2022,1660663547,F01,quintwro,j,22,10,25,5346,-71.52716333333333,-32.78186333333333,sesion,,2022-08-16 15:25:50,2022-08-16 11:25:50
82382,18,16-08-2022,1660663553,F01,quintwro,j,19,10,20,5348,-71.52716333333333,-32.78186333333333,sesion,,2022-08-16 15:25:50,2022-08-16 11:25:50
82383,19,16-08-2022,1660663558,F01,quintwro,j,18,11,19,5348,-71.52716333333333,-32.78186333333333,sesion,,2022-08-16 15:26:00,2022-08-16 11:26:00
82384,20,16-08-2022,1660663563,F01,quintwro,j,17,10,19,5348,-71.52716333333333,-32.78186333333333,sesion,,2022-08-16 15:26:00,2022-08-16 11:26:00
82385,21,16-08-2022,1660663569,F01,quintwro,j,18,8,19,5347,-71.52716333333333,-32.78186333333333,sesion,,2022-08-16 15:26:10,2022-08-16 11:26:10
82386,22,16-08-2022,1660663574,F01,quintwro,j,20,9,21,5346,-71.52716333333333,-32.78186333333333,sesion,,2022-08-16 15:26:10,2022-08-16 11:26:10
82387,23,16-08-2022,1660663579,F01,quintwro,j,17,7,20,5347,-71.52716333333333,-32.78186333333333,sesion,,2022-08-16 15:26:20,2022-08-16 11:26:20
82388,24,16-08-2022,1660663585,F01,quintwro,j,15,7,20,5348,-71.52716333333333,-32.78186333333333,sesion,,2022-08-16 15:26:20,2022-08-16 11:26:20
