,id,fecha,hora,id_sensor,version,letra,pm_25,pm_1,pm_10,delta_t,lon,lat,cal,comentario,GMT,time_cl
45028,7,27-07-2022,1658936571,G03,auto,a,21,13,24,5291,-72.06284000000002,-45.579786666666664,calibracion,,2022-07-27 15:42:50,2022-07-27 11:42:50
45029,8,27-07-2022,1658936576,G03,auto,a,19,12,21,5298,-72.06284000000002,-45.579786666666664,calibracion,,2022-07-27 15:43:00,2022-07-27 11:43:00
45030,9,27-07-2022,1658936582,G03,auto,a,21,13,22,5298,-72.06284000000002,-45.579786666666664,calibracion,,2022-07-27 15:43:00,2022-07-27 11:43:00
45031,10,27-07-2022,1658936587,G03,auto,a,29,18,31,5296,-72.06284000000002,-45.579786666666664,calibracion,,2022-07-27 15:43:10,2022-07-27 11:43:10
45032,11,27-07-2022,1658936592,G03,auto,a,34,21,41,5296,-72.06284000000002,-45.579786666666664,calibracion,,2022-07-27 15:43:10,2022-07-27 11:43:10
45033,12,27-07-2022,1658936597,G03,auto,a,32,21,35,5296,-72.06284000000002,-45.579786666666664,calibracion,,2022-07-27 15:43:20,2022-07-27 11:43:20
45034,13,27-07-2022,1658936603,G03,auto,a,30,20,32,5296,-72.06284000000002,-45.579786666666664,calibracion,,2022-07-27 15:43:20,2022-07-27 11:43:20
45035,14,27-07-2022,1658936608,G03,auto,a,34,21,38,5296,-72.06284000000002,-45.579786666666664,calibracion,,2022-07-27 15:43:30,2022-07-27 11:43:30
45036,15,27-07-2022,1658936613,G03,auto,a,34,21,40,5296,-72.06284000000002,-45.579786666666664,calibracion,,2022-07-27 15:43:30,2022-07-27 11:43:30
45037,16,27-07-2022,1658936619,G03,auto,a,35,21,42,5296,-72.062815,-45.579885,calibracion,,2022-07-27 15:43:40,2022-07-27 11:43:40
45038,17,27-07-2022,1658936624,G03,auto,a,36,22,43,5296,-72.062815,-45.579885,calibracion,,2022-07-27 15:43:40,2022-07-27 11:43:40
45039,18,27-07-2022,1658936629,G03,auto,a,36,22,42,5295,-72.062815,-45.579885,calibracion,,2022-07-27 15:43:50,2022-07-27 11:43:50
45040,19,27-07-2022,1658936635,G03,auto,a,35,21,42,5298,-72.062815,-45.579885,calibracion,,2022-07-27 15:44:00,2022-07-27 11:44:00
45041,20,27-07-2022,1658936640,G03,auto,a,34,21,41,5298,-72.062815,-45.579885,calibracion,,2022-07-27 15:44:00,2022-07-27 11:44:00
45042,21,27-07-2022,1658936645,G03,auto,a,33,21,41,5298,-72.062815,-45.579885,calibracion,,2022-07-27 15:44:00,2022-07-27 11:44:00
45043,22,27-07-2022,1658936650,G03,auto,a,32,21,37,5296,-72.062815,-45.579885,calibracion,,2022-07-27 15:44:10,2022-07-27 11:44:10
45044,23,27-07-2022,1658936656,G03,auto,a,29,21,34,5296,-72.062815,-45.579885,calibracion,,2022-07-27 15:44:20,2022-07-27 11:44:20
45045,24,27-07-2022,1658936661,G03,auto,a,26,18,26,5296,-72.06289833333334,-45.57977833333333,calibracion,,2022-07-27 15:44:20,2022-07-27 11:44:20
45046,25,27-07-2022,1658936666,G03,auto,a,25,16,25,5297,-72.06289833333334,-45.57977833333333,calibracion,,2022-07-27 15:44:30,2022-07-27 11:44:30
45047,26,27-07-2022,1658936672,G03,auto,a,23,16,23,5296,-72.06289833333334,-45.57977833333333,calibracion,,2022-07-27 15:44:30,2022-07-27 11:44:30
45048,27,27-07-2022,1658936677,G03,auto,a,21,14,23,5296,-72.06289833333334,-45.57977833333333,calibracion,,2022-07-27 15:44:40,2022-07-27 11:44:40
45049,28,27-07-2022,1658936682,G03,auto,a,21,13,23,5296,-72.06289833333334,-45.57977833333333,calibracion,,2022-07-27 15:44:40,2022-07-27 11:44:40
45050,29,27-07-2022,1658936688,G03,auto,a,21,12,23,5297,-72.06289833333334,-45.57977833333333,calibracion,,2022-07-27 15:44:50,2022-07-27 11:44:50
45051,30,27-07-2022,1658936693,G03,auto,a,20,12,22,5296,-72.06289833333334,-45.57977833333333,calibracion,,2022-07-27 15:44:50,2022-07-27 11:44:50
45052,31,27-07-2022,1658936698,G03,auto,a,20,11,22,5297,-72.06289833333334,-45.57977833333333,calibracion,,2022-07-27 15:45:00,2022-07-27 11:45:00
45053,32,27-07-2022,1658936703,G03,auto,a,19,10,20,5296,-72.06289833333334,-45.57977833333333,calibracion,,2022-07-27 15:45:00,2022-07-27 11:45:00
45054,33,27-07-2022,1658936709,G03,auto,a,18,11,20,5297,-72.06289833333334,-45.57977833333333,calibracion,,2022-07-27 15:45:10,2022-07-27 11:45:10
45055,34,27-07-2022,1658936714,G03,auto,a,18,12,19,5296,-72.06289833333334,-45.57977833333333,calibracion,,2022-07-27 15:45:10,2022-07-27 11:45:10
45056,35,27-07-2022,1658936719,G03,auto,a,19,13,21,5296,-72.06289833333334,-45.57977833333333,calibracion,,2022-07-27 15:45:20,2022-07-27 11:45:20
45057,36,27-07-2022,1658936725,G03,auto,a,19,14,21,5297,-72.06289833333334,-45.57977833333333,calibracion,,2022-07-27 15:45:20,2022-07-27 11:45:20
45058,37,27-07-2022,1658936730,G03,auto,a,23,17,25,5297,-72.06268166666669,-45.57972166666666,calibracion,,2022-07-27 15:45:30,2022-07-27 11:45:30
45059,38,27-07-2022,1658936735,G03,auto,a,25,18,28,5297,-72.06268166666669,-45.57972166666666,calibracion,,2022-07-27 15:45:40,2022-07-27 11:45:40
45060,39,27-07-2022,1658936740,G03,auto,a,33,21,37,5296,-72.06268166666669,-45.57972166666666,calibracion,,2022-07-27 15:45:40,2022-07-27 11:45:40
45061,40,27-07-2022,1658936746,G03,auto,a,40,25,47,5297,-72.06268166666669,-45.57972166666666,calibracion,,2022-07-27 15:45:50,2022-07-27 11:45:50
45062,41,27-07-2022,1658936751,G03,auto,a,40,25,48,5296,-72.06268166666669,-45.57972166666666,calibracion,,2022-07-27 15:45:50,2022-07-27 11:45:50
45063,42,27-07-2022,1658936756,G03,auto,a,40,25,47,5296,-72.06268166666669,-45.57972166666666,calibracion,,2022-07-27 15:46:00,2022-07-27 11:46:00
45064,43,27-07-2022,1658936762,G03,auto,a,37,23,43,5295,-72.06268166666669,-45.57972166666666,calibracion,,2022-07-27 15:46:00,2022-07-27 11:46:00
45065,44,27-07-2022,1658936767,G03,auto,a,35,22,40,5296,-72.06268166666669,-45.57972166666666,calibracion,,2022-07-27 15:46:10,2022-07-27 11:46:10
45066,45,27-07-2022,1658936772,G03,auto,a,35,21,39,5295,-72.06268166666669,-45.57972166666666,calibracion,,2022-07-27 15:46:10,2022-07-27 11:46:10
45067,46,27-07-2022,1658936778,G03,auto,a,32,20,33,5296,-72.06268166666669,-45.57972166666666,calibracion,,2022-07-27 15:46:20,2022-07-27 11:46:20
45068,47,27-07-2022,1658936783,G03,auto,a,30,19,31,5297,-72.06334666666666,-45.57941833333333,calibracion,,2022-07-27 15:46:20,2022-07-27 11:46:20
45069,48,27-07-2022,1658936788,G03,auto,a,32,21,32,5297,-72.06334666666666,-45.57941833333333,calibracion,,2022-07-27 15:46:30,2022-07-27 11:46:30
45070,49,27-07-2022,1658936793,G03,auto,a,30,21,31,5297,-72.06334666666666,-45.57941833333333,calibracion,,2022-07-27 15:46:30,2022-07-27 11:46:30
45071,50,27-07-2022,1658936799,G03,auto,a,29,21,31,5296,-72.06334666666666,-45.57941833333333,calibracion,,2022-07-27 15:46:40,2022-07-27 11:46:40
45072,51,27-07-2022,1658936804,G03,auto,a,29,21,30,5296,-72.06334666666666,-45.57941833333333,calibracion,,2022-07-27 15:46:40,2022-07-27 11:46:40
45073,52,27-07-2022,1658936809,G03,auto,a,27,20,28,5297,-72.06334666666666,-45.57941833333333,calibracion,,2022-07-27 15:46:50,2022-07-27 11:46:50
45074,53,27-07-2022,1658936815,G03,auto,a,25,18,25,5296,-72.06334666666666,-45.57941833333333,calibracion,,2022-07-27 15:47:00,2022-07-27 11:47:00
45075,54,27-07-2022,1658936820,G03,auto,a,22,18,24,5297,-72.06334666666666,-45.57941833333333,calibracion,,2022-07-27 15:47:00,2022-07-27 11:47:00
45076,55,27-07-2022,1658936825,G03,auto,a,20,16,20,5296,-72.06334666666666,-45.57941833333333,calibracion,,2022-07-27 15:47:00,2022-07-27 11:47:00
45077,56,27-07-2022,1658936831,G03,auto,a,19,15,19,5297,-72.06278999999998,-45.57969,calibracion,,2022-07-27 15:47:10,2022-07-27 11:47:10
45078,57,27-07-2022,1658936836,G03,auto,a,19,15,20,5297,-72.06278999999998,-45.57969,calibracion,,2022-07-27 15:47:20,2022-07-27 11:47:20
45079,58,27-07-2022,1658936841,G03,auto,a,19,14,19,5297,-72.06278999999998,-45.57969,calibracion,,2022-07-27 15:47:20,2022-07-27 11:47:20
45080,59,27-07-2022,1658936846,G03,auto,a,19,13,20,5298,-72.06278999999998,-45.57969,calibracion,,2022-07-27 15:47:30,2022-07-27 11:47:30
45081,60,27-07-2022,1658936852,G03,auto,a,20,14,21,5297,-72.06278999999998,-45.57969,calibracion,,2022-07-27 15:47:30,2022-07-27 11:47:30
45082,61,27-07-2022,1658936857,G03,auto,a,20,15,20,5295,-72.06278999999998,-45.57969,calibracion,,2022-07-27 15:47:40,2022-07-27 11:47:40
45083,62,27-07-2022,1658936862,G03,auto,a,20,16,20,5296,-72.06278999999998,-45.57969,calibracion,,2022-07-27 15:47:40,2022-07-27 11:47:40
45084,63,27-07-2022,1658936868,G03,auto,a,19,16,19,5295,-72.06278999999998,-45.57969,calibracion,,2022-07-27 15:47:50,2022-07-27 11:47:50
45085,64,27-07-2022,1658936873,G03,auto,a,19,16,19,5296,-72.06278999999998,-45.57969,calibracion,,2022-07-27 15:47:50,2022-07-27 11:47:50
45086,65,27-07-2022,1658936878,G03,auto,a,18,15,18,5296,-72.06230166666666,-45.57990333333334,calibracion,,2022-07-27 15:48:00,2022-07-27 11:48:00
45087,66,27-07-2022,1658936884,G03,auto,a,18,14,18,5296,-72.06230166666666,-45.57990333333334,calibracion,,2022-07-27 15:48:00,2022-07-27 11:48:00
45088,67,27-07-2022,1658936889,G03,auto,a,17,13,17,5296,-72.06230166666666,-45.57990333333334,calibracion,,2022-07-27 15:48:10,2022-07-27 11:48:10
45089,68,27-07-2022,1658936894,G03,auto,a,18,14,18,5297,-72.06230166666666,-45.57990333333334,calibracion,,2022-07-27 15:48:10,2022-07-27 11:48:10
45090,69,27-07-2022,1658936899,G03,auto,a,23,16,24,5296,-72.06230166666666,-45.57990333333334,calibracion,,2022-07-27 15:48:20,2022-07-27 11:48:20
