,id,fecha,hora,id_sensor,version,letra,pm_25,pm_1,pm_10,delta_t,lon,lat,cal,comentario,GMT,time_cl
18643,210,29-06-2022,1656543982,F02,mega,a,40,26,46,5341,,,sesion,,2022-06-29 23:06:20,2022-06-29 19:06:20
18644,211,29-06-2022,1656543988,F02,mega,a,40,26,46,5347,,,sesion,,2022-06-29 23:06:30,2022-06-29 19:06:30
18645,212,29-06-2022,1656543993,F02,mega,a,39,26,45,5347,,,sesion,,2022-06-29 23:06:30,2022-06-29 19:06:30
18646,213,29-06-2022,1656543998,F02,mega,a,40,26,45,5347,,,sesion,,2022-06-29 23:06:40,2022-06-29 19:06:40
18647,214,29-06-2022,1656544004,F02,mega,a,38,25,43,5346,,,sesion,,2022-06-29 23:06:40,2022-06-29 19:06:40
18648,215,29-06-2022,1656544009,F02,mega,a,38,25,43,5348,,,sesion,,2022-06-29 23:06:50,2022-06-29 19:06:50
18649,216,29-06-2022,1656544014,F02,mega,a,39,25,44,5348,,,sesion,,2022-06-29 23:06:50,2022-06-29 19:06:50
18650,217,29-06-2022,1656544020,F02,mega,a,41,25,44,5346,,,sesion,,2022-06-29 23:07:00,2022-06-29 19:07:00
18651,218,29-06-2022,1656544025,F02,mega,a,39,24,43,5348,,,calibracion,,2022-06-29 23:07:00,2022-06-29 19:07:00
18652,219,29-06-2022,1656544030,F02,mega,a,38,24,42,5347,,,calibracion,,2022-06-29 23:07:10,2022-06-29 19:07:10
18653,220,29-06-2022,1656544036,F02,mega,a,37,23,39,5347,,,calibracion,,2022-06-29 23:07:20,2022-06-29 19:07:20
18654,221,29-06-2022,1656544041,F02,mega,a,35,23,36,5346,,,calibracion,,2022-06-29 23:07:20,2022-06-29 19:07:20
18655,222,29-06-2022,1656544047,F02,mega,a,33,23,33,5348,,,calibracion,,2022-06-29 23:07:30,2022-06-29 19:07:30
18656,223,29-06-2022,1656544052,F02,mega,a,31,23,31,5347,,,calibracion,,2022-06-29 23:07:30,2022-06-29 19:07:30
18657,224,29-06-2022,1656544057,F02,mega,a,30,23,30,5348,,,calibracion,,2022-06-29 23:07:40,2022-06-29 19:07:40
18658,225,29-06-2022,1656544063,F02,mega,a,31,23,31,5345,,,calibracion,,2022-06-29 23:07:40,2022-06-29 19:07:40
18659,226,29-06-2022,1656544068,F02,mega,a,32,23,32,5347,,,calibracion,,2022-06-29 23:07:50,2022-06-29 19:07:50
18660,227,29-06-2022,1656544073,F02,mega,a,33,23,33,5348,,,calibracion,,2022-06-29 23:07:50,2022-06-29 19:07:50
18661,228,29-06-2022,1656544079,F02,mega,a,32,23,32,5346,,,calibracion,,2022-06-29 23:08:00,2022-06-29 19:08:00
18662,229,29-06-2022,1656544084,F02,mega,a,33,23,33,5347,,,calibracion,,2022-06-29 23:08:00,2022-06-29 19:08:00
18663,230,29-06-2022,1656544089,F02,mega,a,32,22,33,5347,,,calibracion,,2022-06-29 23:08:10,2022-06-29 19:08:10
18664,231,29-06-2022,1656544095,F02,mega,a,33,23,34,5347,,,calibracion,,2022-06-29 23:08:20,2022-06-29 19:08:20
18665,232,29-06-2022,1656544100,F02,mega,a,36,24,40,5347,,,calibracion,,2022-06-29 23:08:20,2022-06-29 19:08:20
18666,233,29-06-2022,1656544105,F02,mega,a,37,23,40,5347,,,calibracion,,2022-06-29 23:08:20,2022-06-29 19:08:20
18667,234,29-06-2022,1656544111,F02,mega,a,36,23,38,5347,,,calibracion,,2022-06-29 23:08:30,2022-06-29 19:08:30
