,id,fecha,hora,id_sensor,version,letra,pm_25,pm_1,pm_10,delta_t,lon,lat,cal,comentario,GMT,time_cl
51423,20,29-06-2022,1656521866,F02,plaza,C,9,6,9,5341,,,calibracion,,2022-06-29 16:57:50,2022-06-29 12:57:50
51424,21,29-06-2022,1656521871,F02,plaza,C,8,6,9,5348,,,calibracion,,2022-06-29 16:57:50,2022-06-29 12:57:50
51425,22,29-06-2022,1656521877,F02,plaza,C,9,6,11,5347,,,calibracion,,2022-06-29 16:58:00,2022-06-29 12:58:00
51426,23,29-06-2022,1656521882,F02,plaza,C,8,4,9,5347,,,calibracion,,2022-06-29 16:58:00,2022-06-29 12:58:00
51427,24,29-06-2022,1656521887,F02,plaza,C,8,4,9,5348,,,calibracion,,2022-06-29 16:58:10,2022-06-29 12:58:10
51428,25,29-06-2022,1656521893,F02,plaza,C,6,3,7,5346,,,calibracion,,2022-06-29 16:58:10,2022-06-29 12:58:10
51429,26,29-06-2022,1656521898,F02,plaza,C,6,3,7,5347,-72.06972999999998,-45.57289333333333,calibracion,,2022-06-29 16:58:20,2022-06-29 12:58:20
51430,27,29-06-2022,1656521903,F02,plaza,C,4,2,4,5347,-72.06972999999998,-45.57289333333333,calibracion,,2022-06-29 16:58:20,2022-06-29 12:58:20
51431,28,29-06-2022,1656521909,F02,plaza,C,4,2,4,5348,-72.06972999999998,-45.57289333333333,calibracion,,2022-06-29 16:58:30,2022-06-29 12:58:30
51432,29,29-06-2022,1656521914,F02,plaza,C,4,2,4,5346,-72.06972999999998,-45.57289333333333,calibracion,,2022-06-29 16:58:30,2022-06-29 12:58:30
51433,30,29-06-2022,1656521919,F02,plaza,C,4,2,4,5348,-72.06972999999998,-45.57289333333333,calibracion,,2022-06-29 16:58:40,2022-06-29 12:58:40
51434,31,29-06-2022,1656521925,F02,plaza,C,7,3,7,5347,-72.06972999999998,-45.57289333333333,calibracion,,2022-06-29 16:58:40,2022-06-29 12:58:40
51435,32,29-06-2022,1656521930,F02,plaza,C,6,3,6,5347,-72.06972999999998,-45.57289333333333,calibracion,,2022-06-29 16:58:50,2022-06-29 12:58:50
51436,33,29-06-2022,1656521936,F02,plaza,C,7,4,7,5345,-72.06972999999998,-45.57289333333333,calibracion,,2022-06-29 16:59:00,2022-06-29 12:59:00
51437,34,29-06-2022,1656521941,F02,plaza,C,8,4,8,5346,-72.06972999999998,-45.57289333333333,calibracion,,2022-06-29 16:59:00,2022-06-29 12:59:00
51438,35,29-06-2022,1656521946,F02,plaza,C,8,4,8,5347,-72.06972999999998,-45.57289333333333,calibracion,,2022-06-29 16:59:10,2022-06-29 12:59:10
51439,36,29-06-2022,1656521952,F02,plaza,C,8,4,8,5347,-72.06972999999998,-45.57289333333333,calibracion,,2022-06-29 16:59:10,2022-06-29 12:59:10
51440,37,29-06-2022,1656521957,F02,plaza,C,7,4,8,5347,-72.06972999999998,-45.57289333333333,calibracion,,2022-06-29 16:59:20,2022-06-29 12:59:20
51441,38,29-06-2022,1656521962,F02,plaza,C,6,3,7,5348,-72.06872833333334,-45.57135,calibracion,,2022-06-29 16:59:20,2022-06-29 12:59:20
51442,39,29-06-2022,1656521968,F02,plaza,C,6,3,7,5346,-72.06872833333334,-45.57135,calibracion,,2022-06-29 16:59:30,2022-06-29 12:59:30
51443,40,29-06-2022,1656521973,F02,plaza,C,4,3,4,5346,-72.06872833333334,-45.57135,calibracion,,2022-06-29 16:59:30,2022-06-29 12:59:30
51444,41,29-06-2022,1656521978,F02,plaza,C,5,3,5,5346,-72.06872833333334,-45.57135,calibracion,,2022-06-29 16:59:40,2022-06-29 12:59:40
51445,42,29-06-2022,1656521984,F02,plaza,C,5,3,7,5348,-72.06872833333334,-45.57135,calibracion,,2022-06-29 16:59:40,2022-06-29 12:59:40
51446,43,29-06-2022,1656521989,F02,plaza,C,5,3,5,5346,-72.06872833333334,-45.57135,calibracion,,2022-06-29 16:59:50,2022-06-29 12:59:50
51447,44,29-06-2022,1656521994,F02,plaza,C,5,3,7,5347,-72.06872833333334,-45.57135,calibracion,,2022-06-29 16:59:50,2022-06-29 12:59:50
51448,45,29-06-2022,1656522000,F02,plaza,C,5,3,7,5347,-72.06872833333334,-45.57135,calibracion,,2022-06-29 17:00:00,2022-06-29 13:00:00
51449,46,29-06-2022,1656522005,F02,plaza,C,5,3,7,5346,-72.06872833333334,-45.57135,calibracion,,2022-06-29 17:00:00,2022-06-29 13:00:00
51450,47,29-06-2022,1656522010,F02,plaza,C,7,3,7,5347,-72.06872833333334,-45.57135,calibracion,,2022-06-29 17:00:10,2022-06-29 13:00:10
51451,48,29-06-2022,1656522016,F02,plaza,C,10,4,10,5347,-72.06872833333334,-45.57135,calibracion,,2022-06-29 17:00:20,2022-06-29 13:00:20
51452,49,29-06-2022,1656522021,F02,plaza,C,19,9,21,5347,-72.06878833333333,-45.57106333333333,calibracion,,2022-06-29 17:00:20,2022-06-29 13:00:20
51453,50,29-06-2022,1656522026,F02,plaza,C,21,10,24,5348,-72.06878833333333,-45.57106333333333,calibracion,,2022-06-29 17:00:30,2022-06-29 13:00:30
51454,51,29-06-2022,1656522032,F02,plaza,C,20,9,23,5348,-72.06878833333333,-45.57106333333333,calibracion,,2022-06-29 17:00:30,2022-06-29 13:00:30
51455,52,29-06-2022,1656522037,F02,plaza,C,19,8,22,5346,-72.06878833333333,-45.57106333333333,calibracion,,2022-06-29 17:00:40,2022-06-29 13:00:40
51456,53,29-06-2022,1656522042,F02,plaza,C,17,8,21,5346,-72.06878833333333,-45.57106333333333,calibracion,,2022-06-29 17:00:40,2022-06-29 13:00:40
51457,54,29-06-2022,1656522048,F02,plaza,C,14,7,16,5346,-72.06878833333333,-45.57106333333333,calibracion,,2022-06-29 17:00:50,2022-06-29 13:00:50
51458,55,29-06-2022,1656522053,F02,plaza,C,11,5,13,5348,-72.06878833333333,-45.57106333333333,calibracion,,2022-06-29 17:00:50,2022-06-29 13:00:50
51459,56,29-06-2022,1656522058,F02,plaza,C,8,5,9,5346,-72.06878833333333,-45.57106333333333,calibracion,,2022-06-29 17:01:00,2022-06-29 13:01:00
51460,57,29-06-2022,1656522064,F02,plaza,C,7,4,7,5345,-72.06878833333333,-45.57106333333333,calibracion,,2022-06-29 17:01:00,2022-06-29 13:01:00
51461,58,29-06-2022,1656522069,F02,plaza,C,5,3,5,5348,-72.06878833333333,-45.57106333333333,calibracion,,2022-06-29 17:01:10,2022-06-29 13:01:10
51462,59,29-06-2022,1656522075,F02,plaza,C,4,3,4,5346,-72.06863833333334,-45.57120666666666,calibracion,,2022-06-29 17:01:20,2022-06-29 13:01:20
51463,60,29-06-2022,1656522080,F02,plaza,C,3,2,3,5348,-72.06863833333334,-45.57120666666666,calibracion,,2022-06-29 17:01:20,2022-06-29 13:01:20
51464,61,29-06-2022,1656522085,F02,plaza,C,2,1,2,5348,-72.06863833333334,-45.57120666666666,calibracion,,2022-06-29 17:01:20,2022-06-29 13:01:20
51465,62,29-06-2022,1656522091,F02,plaza,C,1,1,1,5348,-72.06863833333334,-45.57120666666666,calibracion,,2022-06-29 17:01:30,2022-06-29 13:01:30
51466,63,29-06-2022,1656522096,F02,plaza,C,2,1,2,5348,-72.06863833333334,-45.57120666666666,calibracion,,2022-06-29 17:01:40,2022-06-29 13:01:40
51467,64,29-06-2022,1656522101,F02,plaza,C,2,1,2,5348,-72.06863833333334,-45.57120666666666,calibracion,,2022-06-29 17:01:40,2022-06-29 13:01:40
51468,65,29-06-2022,1656522107,F02,plaza,C,2,1,2,5348,-72.06863833333334,-45.57120666666666,calibracion,,2022-06-29 17:01:50,2022-06-29 13:01:50
51469,66,29-06-2022,1656522112,F02,plaza,C,2,1,2,5346,-72.06863833333334,-45.57120666666666,calibracion,,2022-06-29 17:01:50,2022-06-29 13:01:50
51470,67,29-06-2022,1656522117,F02,plaza,C,2,1,2,5347,-72.06863833333334,-45.57120666666666,calibracion,,2022-06-29 17:02:00,2022-06-29 13:02:00
51471,68,29-06-2022,1656522123,F02,plaza,C,2,1,2,5346,-72.06863833333334,-45.57120666666666,calibracion,,2022-06-29 17:02:00,2022-06-29 13:02:00
51472,69,29-06-2022,1656522128,F02,plaza,C,2,1,2,5346,-72.06875,-45.57110333333333,calibracion,,2022-06-29 17:02:10,2022-06-29 13:02:10
51473,70,29-06-2022,1656522133,F02,plaza,C,2,1,2,5347,-72.06875,-45.57110333333333,calibracion,,2022-06-29 17:02:10,2022-06-29 13:02:10
51474,71,29-06-2022,1656522139,F02,plaza,C,3,1,3,5348,-72.06875,-45.57110333333333,calibracion,,2022-06-29 17:02:20,2022-06-29 13:02:20
51475,72,29-06-2022,1656522144,F02,plaza,C,3,1,4,5348,-72.06875,-45.57110333333333,calibracion,,2022-06-29 17:02:20,2022-06-29 13:02:20
51476,73,29-06-2022,1656522149,F02,plaza,C,3,2,4,5348,-72.06875,-45.57110333333333,calibracion,,2022-06-29 17:02:30,2022-06-29 13:02:30
51477,74,29-06-2022,1656522155,F02,plaza,C,3,2,4,5348,-72.06875,-45.57110333333333,calibracion,,2022-06-29 17:02:40,2022-06-29 13:02:40
51478,75,29-06-2022,1656522160,F02,plaza,C,5,3,5,5347,-72.06875,-45.57110333333333,calibracion,,2022-06-29 17:02:40,2022-06-29 13:02:40
51479,76,29-06-2022,1656522165,F02,plaza,C,4,3,4,5347,-72.06875,-45.57110333333333,calibracion,,2022-06-29 17:02:40,2022-06-29 13:02:40
51480,77,29-06-2022,1656522171,F02,plaza,C,4,3,4,5346,-72.06875,-45.57110333333333,calibracion,,2022-06-29 17:02:50,2022-06-29 13:02:50
51481,78,29-06-2022,1656522176,F02,plaza,C,5,4,5,5347,-72.06875,-45.57110333333333,calibracion,,2022-06-29 17:03:00,2022-06-29 13:03:00
51482,79,29-06-2022,1656522181,F02,plaza,C,7,4,7,5346,-72.06875,-45.57110333333333,calibracion,,2022-06-29 17:03:00,2022-06-29 13:03:00
51483,80,29-06-2022,1656522187,F02,plaza,C,7,4,8,5347,-72.06875,-45.57110333333333,calibracion,,2022-06-29 17:03:10,2022-06-29 13:03:10
51484,81,29-06-2022,1656522192,F02,plaza,C,7,4,8,5348,-72.06875,-45.57110333333333,calibracion,,2022-06-29 17:03:10,2022-06-29 13:03:10
51485,82,29-06-2022,1656522198,F02,plaza,C,7,4,8,5346,-72.06875,-45.57110333333333,calibracion,,2022-06-29 17:03:20,2022-06-29 13:03:20
51486,83,29-06-2022,1656522203,F02,plaza,C,7,4,8,5347,-72.06875,-45.57110333333333,calibracion,,2022-06-29 17:03:20,2022-06-29 13:03:20
51487,84,29-06-2022,1656522208,F02,plaza,C,4,3,7,5346,-72.06875,-45.57110333333333,calibracion,,2022-06-29 17:03:30,2022-06-29 13:03:30
51488,85,29-06-2022,1656522214,F02,plaza,C,4,3,5,5346,-72.06875,-45.57110333333333,calibracion,,2022-06-29 17:03:30,2022-06-29 13:03:30
51489,86,29-06-2022,1656522219,F02,plaza,C,5,3,7,5347,-72.06875,-45.57110333333333,calibracion,,2022-06-29 17:03:40,2022-06-29 13:03:40
51490,87,29-06-2022,1656522224,F02,plaza,C,5,3,7,5348,-72.06875,-45.57110333333333,calibracion,,2022-06-29 17:03:40,2022-06-29 13:03:40
