,id,fecha,hora,id_sensor,version,letra,pm_25,pm_1,pm_10,delta_t,lon,lat,cal,comentario,GMT,time_cl
53443,339,29-07-2022,1659078633,G09,op,hb,123,74,146,5291,,,calibracion,,2022-07-29 07:10:30,2022-07-29 03:10:30
53444,340,29-07-2022,1659078638,G09,op,hb,123,73,149,5297,,,calibracion,,2022-07-29 07:10:40,2022-07-29 03:10:40
53445,341,29-07-2022,1659078643,G09,op,hb,110,67,120,5297,,,calibracion,,2022-07-29 07:10:40,2022-07-29 03:10:40
53446,342,29-07-2022,1659078649,G09,op,hb,104,64,114,5297,,,calibracion,,2022-07-29 07:10:50,2022-07-29 03:10:50
53447,343,29-07-2022,1659078654,G09,op,hb,105,63,113,5297,,,calibracion,,2022-07-29 07:10:50,2022-07-29 03:10:50
53448,344,29-07-2022,1659078659,G09,op,hb,110,68,119,5298,,,calibracion,,2022-07-29 07:11:00,2022-07-29 03:11:00
53449,345,29-07-2022,1659078665,G09,op,hb,117,72,136,5298,,,calibracion,,2022-07-29 07:11:00,2022-07-29 03:11:00
53450,346,29-07-2022,1659078670,G09,op,hb,120,74,150,5297,,,calibracion,,2022-07-29 07:11:10,2022-07-29 03:11:10
53451,347,29-07-2022,1659078675,G09,op,hb,142,86,168,5298,,,calibracion,,2022-07-29 07:11:20,2022-07-29 03:11:20
53452,348,29-07-2022,1659078681,G09,op,hb,141,88,172,5298,,,calibracion,,2022-07-29 07:11:20,2022-07-29 03:11:20
53453,349,29-07-2022,1659078686,G09,op,hb,150,92,182,5298,,,calibracion,,2022-07-29 07:11:30,2022-07-29 03:11:30
53454,350,29-07-2022,1659078691,G09,op,hb,130,81,164,5298,,,calibracion,,2022-07-29 07:11:30,2022-07-29 03:11:30
53455,351,29-07-2022,1659078697,G09,op,hb,113,68,141,5297,,,calibracion,,2022-07-29 07:11:40,2022-07-29 03:11:40
53456,352,29-07-2022,1659078702,G09,op,hb,112,68,128,5297,,,calibracion,,2022-07-29 07:11:40,2022-07-29 03:11:40
53457,354,29-07-2022,1659078713,G09,op,hb,105,64,121,5291,,,calibracion,,2022-07-29 07:11:50,2022-07-29 03:11:50
53458,355,29-07-2022,1659078718,G09,op,hb,98,63,117,5297,,,calibracion,,2022-07-29 07:12:00,2022-07-29 03:12:00
53459,356,29-07-2022,1659078723,G09,op,hb,90,58,111,5298,,,calibracion,,2022-07-29 07:12:00,2022-07-29 03:12:00
53460,357,29-07-2022,1659078729,G09,op,hb,87,55,109,5297,,,calibracion,,2022-07-29 07:12:10,2022-07-29 03:12:10
53461,358,29-07-2022,1659078734,G09,op,hb,92,55,105,5298,,,calibracion,,2022-07-29 07:12:10,2022-07-29 03:12:10
53462,359,29-07-2022,1659078739,G09,op,hb,94,56,122,5297,,,calibracion,,2022-07-29 07:12:20,2022-07-29 03:12:20
53463,360,29-07-2022,1659078744,G09,op,hb,94,58,117,5296,,,calibracion,,2022-07-29 07:12:20,2022-07-29 03:12:20
53464,361,29-07-2022,1659078750,G09,op,hb,105,62,115,5297,,,calibracion,,2022-07-29 07:12:30,2022-07-29 03:12:30
53465,362,29-07-2022,1659078755,G09,op,hb,99,60,110,5298,,,calibracion,,2022-07-29 07:12:40,2022-07-29 03:12:40
53466,363,29-07-2022,1659078760,G09,op,hb,101,63,118,5297,,,calibracion,,2022-07-29 07:12:40,2022-07-29 03:12:40
53467,364,29-07-2022,1659078766,G09,op,hb,101,64,116,5297,,,calibracion,,2022-07-29 07:12:50,2022-07-29 03:12:50
53468,365,29-07-2022,1659078771,G09,op,hb,100,64,120,5297,,,calibracion,,2022-07-29 07:12:50,2022-07-29 03:12:50
53469,366,29-07-2022,1659078777,G09,op,hb,103,64,122,5297,,,calibracion,,2022-07-29 07:13:00,2022-07-29 03:13:00
53470,367,29-07-2022,1659078782,G09,op,hb,96,60,114,5297,,,calibracion,,2022-07-29 07:13:00,2022-07-29 03:13:00
53471,368,29-07-2022,1659078787,G09,op,hb,97,61,118,5297,,,calibracion,,2022-07-29 07:13:10,2022-07-29 03:13:10
53472,369,29-07-2022,1659078792,G09,op,hb,101,60,127,5297,,,calibracion,,2022-07-29 07:13:10,2022-07-29 03:13:10
53473,370,29-07-2022,1659078798,G09,op,hb,92,56,112,5297,,,calibracion,,2022-07-29 07:13:20,2022-07-29 03:13:20
53474,371,29-07-2022,1659078803,G09,op,hb,82,52,99,5297,,,calibracion,,2022-07-29 07:13:20,2022-07-29 03:13:20
53475,372,29-07-2022,1659078808,G09,op,hb,81,51,100,5297,,,calibracion,,2022-07-29 07:13:30,2022-07-29 03:13:30
53476,373,29-07-2022,1659078813,G09,op,hb,88,55,109,5296,,,calibracion,,2022-07-29 07:13:30,2022-07-29 03:13:30
53477,374,29-07-2022,1659078819,G09,op,hb,99,61,123,5296,,,calibracion,,2022-07-29 07:13:40,2022-07-29 03:13:40
53478,375,29-07-2022,1659078824,G09,op,hb,120,73,140,5297,,,calibracion,,2022-07-29 07:13:40,2022-07-29 03:13:40
53479,376,29-07-2022,1659078829,G09,op,hb,122,72,140,5298,,,calibracion,,2022-07-29 07:13:50,2022-07-29 03:13:50
53480,377,29-07-2022,1659078835,G09,op,hb,124,72,144,5298,,,calibracion,,2022-07-29 07:14:00,2022-07-29 03:14:00
53481,378,29-07-2022,1659078840,G09,op,hb,122,73,142,5298,,,calibracion,,2022-07-29 07:14:00,2022-07-29 03:14:00
