,id,fecha,hora,id_sensor,version,letra,pm_25,pm_1,pm_10,delta_t,lon,lat,cal,comentario,GMT,time_cl
16195,93,29-07-2022,1659138458,F02,prueb,b,158,90,168,5341,-72.06666166666669,-45.56717666666667,sesion,,2022-07-29 23:47:40,2022-07-29 19:47:40
16196,94,29-07-2022,1659138464,F02,prueb,b,193,103,216,5348,-72.06666166666669,-45.56717666666667,sesion,,2022-07-29 23:47:40,2022-07-29 19:47:40
16197,95,29-07-2022,1659138469,F02,prueb,b,237,117,272,5347,-72.06666166666669,-45.56717666666667,sesion,,2022-07-29 23:47:50,2022-07-29 19:47:50
16198,96,29-07-2022,1659138474,F02,prueb,b,235,116,271,5347,-72.06666166666669,-45.56717666666667,sesion,,2022-07-29 23:47:50,2022-07-29 19:47:50
16199,97,29-07-2022,1659138480,F02,prueb,b,227,113,258,5348,-72.06666166666669,-45.56717666666667,sesion,,2022-07-29 23:48:00,2022-07-29 19:48:00
16200,98,29-07-2022,1659138485,F02,prueb,b,217,107,246,5348,-72.06666166666669,-45.56717666666667,sesion,,2022-07-29 23:48:00,2022-07-29 19:48:00
16201,99,29-07-2022,1659138490,F02,prueb,b,189,98,221,5347,-72.06666166666669,-45.56717666666667,sesion,,2022-07-29 23:48:10,2022-07-29 19:48:10
16202,100,29-07-2022,1659138496,F02,prueb,b,161,89,183,5347,-72.06666166666669,-45.56717666666667,sesion,,2022-07-29 23:48:20,2022-07-29 19:48:20
16203,101,29-07-2022,1659138501,F02,prueb,b,149,84,173,5347,-72.06666166666669,-45.56717666666667,sesion,,2022-07-29 23:48:20,2022-07-29 19:48:20
16204,102,29-07-2022,1659138506,F02,prueb,b,142,81,171,5347,-72.06666166666669,-45.56717666666667,sesion,,2022-07-29 23:48:30,2022-07-29 19:48:30
16205,103,29-07-2022,1659138512,F02,prueb,b,123,71,139,5348,-72.06666166666669,-45.56717666666667,sesion,,2022-07-29 23:48:30,2022-07-29 19:48:30
16206,104,29-07-2022,1659138517,F02,prueb,b,104,62,112,5347,-72.06034166666667,-45.56751166666666,sesion,,2022-07-29 23:48:40,2022-07-29 19:48:40
16207,105,29-07-2022,1659138522,F02,prueb,b,98,59,104,5348,-72.06034166666667,-45.56751166666666,sesion,,2022-07-29 23:48:40,2022-07-29 19:48:40
16208,106,29-07-2022,1659138528,F02,prueb,b,97,60,102,5347,-72.06034166666667,-45.56751166666666,sesion,,2022-07-29 23:48:50,2022-07-29 19:48:50
16209,107,29-07-2022,1659138533,F02,prueb,b,124,73,130,5347,-72.06034166666667,-45.56751166666666,sesion,,2022-07-29 23:48:50,2022-07-29 19:48:50
16210,108,29-07-2022,1659138538,F02,prueb,b,130,75,134,5345,-72.06034166666667,-45.56751166666666,sesion,,2022-07-29 23:49:00,2022-07-29 19:49:00
16211,109,29-07-2022,1659138544,F02,prueb,b,116,70,124,5348,-72.06034166666667,-45.56751166666666,sesion,,2022-07-29 23:49:00,2022-07-29 19:49:00
16212,110,29-07-2022,1659138549,F02,prueb,b,109,65,118,5346,-72.06034166666667,-45.56751166666666,sesion,,2022-07-29 23:49:10,2022-07-29 19:49:10
16213,111,29-07-2022,1659138555,F02,prueb,b,97,59,107,5347,-72.06034166666667,-45.56751166666666,sesion,,2022-07-29 23:49:20,2022-07-29 19:49:20
16214,112,29-07-2022,1659138560,F02,prueb,b,80,49,89,5348,-72.06620666666666,-45.56816333333333,sesion,,2022-07-29 23:49:20,2022-07-29 19:49:20
16215,113,29-07-2022,1659138565,F02,prueb,b,63,38,78,5347,-72.06620666666666,-45.56816333333333,sesion,,2022-07-29 23:49:20,2022-07-29 19:49:20
16216,114,29-07-2022,1659138571,F02,prueb,b,51,31,64,5347,-72.06620666666666,-45.56816333333333,sesion,,2022-07-29 23:49:30,2022-07-29 19:49:30
16217,115,29-07-2022,1659138576,F02,prueb,b,36,23,43,5346,-72.06620666666666,-45.56816333333333,sesion,,2022-07-29 23:49:40,2022-07-29 19:49:40
16218,116,29-07-2022,1659138581,F02,prueb,b,32,21,32,5347,-72.06620666666666,-45.56816333333333,sesion,,2022-07-29 23:49:40,2022-07-29 19:49:40
16219,117,29-07-2022,1659138587,F02,prueb,b,28,19,29,5345,-72.06620666666666,-45.56816333333333,sesion,,2022-07-29 23:49:50,2022-07-29 19:49:50
16220,118,29-07-2022,1659138592,F02,prueb,b,24,15,24,5346,-72.06620666666666,-45.56816333333333,sesion,,2022-07-29 23:49:50,2022-07-29 19:49:50
16221,119,29-07-2022,1659138597,F02,prueb,b,23,15,23,5347,-72.06620666666666,-45.56816333333333,sesion,,2022-07-29 23:50:00,2022-07-29 19:50:00
16222,120,29-07-2022,1659138603,F02,prueb,b,21,13,21,5348,-72.06620666666666,-45.56816333333333,sesion,,2022-07-29 23:50:00,2022-07-29 19:50:00
16223,121,29-07-2022,1659138608,F02,prueb,b,21,13,21,5348,-72.06596666666665,-45.56859333333333,sesion,,2022-07-29 23:50:10,2022-07-29 19:50:10
16224,122,29-07-2022,1659138613,F02,prueb,b,21,13,21,5346,-72.06596666666665,-45.56859333333333,sesion,,2022-07-29 23:50:10,2022-07-29 19:50:10
16225,123,29-07-2022,1659138619,F02,prueb,b,22,14,23,5347,-72.06596666666665,-45.56859333333333,sesion,,2022-07-29 23:50:20,2022-07-29 19:50:20
16226,124,29-07-2022,1659138624,F02,prueb,b,21,14,22,5347,-72.06596666666665,-45.56859333333333,sesion,,2022-07-29 23:50:20,2022-07-29 19:50:20
16227,125,29-07-2022,1659138629,F02,prueb,b,21,14,22,5347,-72.06596666666665,-45.56859333333333,sesion,,2022-07-29 23:50:30,2022-07-29 19:50:30
16228,126,29-07-2022,1659138635,F02,prueb,b,20,14,21,5349,-72.06596666666665,-45.56859333333333,sesion,,2022-07-29 23:50:40,2022-07-29 19:50:40
16229,127,29-07-2022,1659138640,F02,prueb,b,21,14,22,5348,-72.06596666666665,-45.56859333333333,sesion,,2022-07-29 23:50:40,2022-07-29 19:50:40
16230,128,29-07-2022,1659138645,F02,prueb,b,19,13,21,5348,-72.06596666666665,-45.56859333333333,sesion,,2022-07-29 23:50:40,2022-07-29 19:50:40
16231,129,29-07-2022,1659138651,F02,prueb,b,19,13,19,5348,-72.06561500000001,-45.568999999999996,sesion,,2022-07-29 23:50:50,2022-07-29 19:50:50
16232,130,29-07-2022,1659138656,F02,prueb,b,19,13,19,5348,-72.06561500000001,-45.568999999999996,sesion,,2022-07-29 23:51:00,2022-07-29 19:51:00
16233,131,29-07-2022,1659138661,F02,prueb,b,20,14,20,5346,-72.06561500000001,-45.568999999999996,sesion,,2022-07-29 23:51:00,2022-07-29 19:51:00
16234,132,29-07-2022,1659138667,F02,prueb,b,19,12,19,5348,-72.06561500000001,-45.568999999999996,sesion,,2022-07-29 23:51:10,2022-07-29 19:51:10
16235,133,29-07-2022,1659138672,F02,prueb,b,19,13,19,5348,-72.06561500000001,-45.568999999999996,sesion,,2022-07-29 23:51:10,2022-07-29 19:51:10
16236,134,29-07-2022,1659138678,F02,prueb,b,19,12,19,5347,-72.06561500000001,-45.568999999999996,sesion,,2022-07-29 23:51:20,2022-07-29 19:51:20
16237,135,29-07-2022,1659138683,F02,prueb,b,20,13,20,5347,-72.06561500000001,-45.568999999999996,sesion,,2022-07-29 23:51:20,2022-07-29 19:51:20
16238,136,29-07-2022,1659138688,F02,prueb,b,20,15,20,5346,-72.06561500000001,-45.568999999999996,sesion,,2022-07-29 23:51:30,2022-07-29 19:51:30
16239,137,29-07-2022,1659138694,F02,prueb,b,19,14,19,5348,-72.06561500000001,-45.568999999999996,sesion,,2022-07-29 23:51:30,2022-07-29 19:51:30
16240,138,29-07-2022,1659138699,F02,prueb,b,18,13,18,5346,-72.05840333333335,-45.56922833333333,sesion,,2022-07-29 23:51:40,2022-07-29 19:51:40
16241,139,29-07-2022,1659138704,F02,prueb,b,18,13,18,5348,-72.05840333333335,-45.56922833333333,sesion,,2022-07-29 23:51:40,2022-07-29 19:51:40
16242,140,29-07-2022,1659138710,F02,prueb,b,19,13,19,5347,-72.05840333333335,-45.56922833333333,sesion,,2022-07-29 23:51:50,2022-07-29 19:51:50
16243,141,29-07-2022,1659138715,F02,prueb,b,16,11,16,5347,-72.05840333333335,-45.56922833333333,sesion,,2022-07-29 23:52:00,2022-07-29 19:52:00
16244,142,29-07-2022,1659138720,F02,prueb,b,13,9,13,5348,-72.05840333333335,-45.56922833333333,sesion,,2022-07-29 23:52:00,2022-07-29 19:52:00
16245,143,29-07-2022,1659138726,F02,prueb,b,12,8,12,5347,-72.05840333333335,-45.56922833333333,sesion,,2022-07-29 23:52:10,2022-07-29 19:52:10
16246,144,29-07-2022,1659138731,F02,prueb,b,11,7,11,5347,-72.05840333333335,-45.56922833333333,sesion,,2022-07-29 23:52:10,2022-07-29 19:52:10
16247,145,29-07-2022,1659138736,F02,prueb,b,8,5,8,5348,-72.05840333333335,-45.56922833333333,sesion,,2022-07-29 23:52:20,2022-07-29 19:52:20
16248,146,29-07-2022,1659138742,F02,prueb,b,5,4,5,5347,-72.06408833333333,-45.56923833333334,sesion,,2022-07-29 23:52:20,2022-07-29 19:52:20
16249,147,29-07-2022,1659138747,F02,prueb,b,11,8,11,5346,-72.06408833333333,-45.56923833333334,sesion,,2022-07-29 23:52:30,2022-07-29 19:52:30
16250,148,29-07-2022,1659138752,F02,prueb,b,40,26,48,5346,-72.06408833333333,-45.56923833333334,sesion,,2022-07-29 23:52:30,2022-07-29 19:52:30
16251,149,29-07-2022,1659138758,F02,prueb,b,57,36,72,5346,-72.06408833333333,-45.56923833333334,sesion,,2022-07-29 23:52:40,2022-07-29 19:52:40
16252,150,29-07-2022,1659138763,F02,prueb,b,58,38,73,5346,-72.06408833333333,-45.56923833333334,sesion,,2022-07-29 23:52:40,2022-07-29 19:52:40
16253,162,29-07-2022,1659138827,F02,prueb,b,65,40,81,5341,-72.06577333333333,-45.57003833333333,sesion,,2022-07-29 23:53:50,2022-07-29 19:53:50
16254,163,29-07-2022,1659138833,F02,prueb,b,61,38,78,5346,-72.06642666666667,-45.57030166666666,sesion,,2022-07-29 23:53:50,2022-07-29 19:53:50
