,id,fecha,hora,id_sensor,version,letra,pm_25,pm_1,pm_10,delta_t,lon,lat,cal,comentario,GMT,time_cl
35735,1,30-07-2022,1659195836,G01,plaza,b,29,18,32,5291,-72.06860470000001,-45.5710477,sesion,,2022-07-30 15:44:00,2022-07-30 11:44:00
35736,2,30-07-2022,1659195841,G01,plaza,b,45,30,51,5297,-72.06860470000001,-45.5710477,sesion,,2022-07-30 15:44:00,2022-07-30 11:44:00
35737,3,30-07-2022,1659195847,G01,plaza,b,49,32,56,5297,-72.06860470000001,-45.5710477,sesion,,2022-07-30 15:44:10,2022-07-30 11:44:10
35738,4,30-07-2022,1659195852,G01,plaza,b,48,33,54,5297,-72.06860470000001,-45.5710477,sesion,,2022-07-30 15:44:10,2022-07-30 11:44:10
35739,5,30-07-2022,1659195857,G01,plaza,b,51,32,58,5297,-72.06860470000001,-45.5710477,sesion,,2022-07-30 15:44:20,2022-07-30 11:44:20
35740,6,30-07-2022,1659195863,G01,plaza,b,48,32,57,5297,-72.06860470000001,-45.5710477,sesion,,2022-07-30 15:44:20,2022-07-30 11:44:20
35741,7,30-07-2022,1659195868,G01,plaza,b,53,32,63,5298,-72.06860470000001,-45.5710477,sesion,,2022-07-30 15:44:30,2022-07-30 11:44:30
35742,8,30-07-2022,1659195873,G01,plaza,b,54,32,65,5297,-72.06860470000001,-45.5710477,sesion,,2022-07-30 15:44:30,2022-07-30 11:44:30
35743,9,30-07-2022,1659195879,G01,plaza,b,52,32,65,5296,-72.06860470000001,-45.5710477,sesion,,2022-07-30 15:44:40,2022-07-30 11:44:40
35744,10,30-07-2022,1659195884,G01,plaza,b,50,32,62,5296,-72.0686561,-45.5711882,sesion,,2022-07-30 15:44:40,2022-07-30 11:44:40
35745,11,30-07-2022,1659195889,G01,plaza,b,49,31,60,5297,-72.0686561,-45.5711882,sesion,,2022-07-30 15:44:50,2022-07-30 11:44:50
35746,12,30-07-2022,1659195894,G01,plaza,b,48,32,63,5297,-72.0686561,-45.5711882,sesion,,2022-07-30 15:44:50,2022-07-30 11:44:50
35747,13,30-07-2022,1659195900,G01,plaza,b,46,31,58,5297,-72.0686561,-45.5711882,sesion,,2022-07-30 15:45:00,2022-07-30 11:45:00
35748,14,30-07-2022,1659195905,G01,plaza,b,48,32,58,5297,-72.0686561,-45.5711882,sesion,,2022-07-30 15:45:00,2022-07-30 11:45:00
35749,15,30-07-2022,1659195910,G01,plaza,b,48,32,56,5297,-72.0686561,-45.5711882,sesion,,2022-07-30 15:45:10,2022-07-30 11:45:10
35750,16,30-07-2022,1659195916,G01,plaza,b,48,32,60,5297,-72.0686561,-45.5711882,sesion,,2022-07-30 15:45:20,2022-07-30 11:45:20
35751,17,30-07-2022,1659195921,G01,plaza,b,50,33,59,5297,-72.0686561,-45.5711882,sesion,,2022-07-30 15:45:20,2022-07-30 11:45:20
35752,18,30-07-2022,1659195926,G01,plaza,b,49,33,59,5297,-72.0686561,-45.5711882,sesion,,2022-07-30 15:45:30,2022-07-30 11:45:30
35753,19,30-07-2022,1659195932,G01,plaza,b,48,30,58,5297,-72.0688042,-45.5711427,sesion,,2022-07-30 15:45:30,2022-07-30 11:45:30
35754,20,30-07-2022,1659195937,G01,plaza,b,48,30,56,5297,-72.0688042,-45.5711427,sesion,,2022-07-30 15:45:40,2022-07-30 11:45:40
35755,21,30-07-2022,1659195942,G01,plaza,b,45,30,58,5296,-72.0688042,-45.5711427,sesion,,2022-07-30 15:45:40,2022-07-30 11:45:40
35756,22,30-07-2022,1659195947,G01,plaza,b,45,30,58,5296,-72.0688042,-45.5711427,sesion,,2022-07-30 15:45:50,2022-07-30 11:45:50
