,id,fecha,hora,id_sensor,version,letra,pm_25,pm_1,pm_10,delta_t,lon,lat,cal,comentario,GMT,time_cl
53532,0,30-07-2022,1659200308,G01,plaza,c,3,2,3,5821,,,sesion,,2022-07-30 16:58:30,2022-07-30 12:58:30
53533,1,30-07-2022,1659200313,G01,plaza,c,3,1,3,5297,,,sesion,,2022-07-30 16:58:30,2022-07-30 12:58:30
53534,2,30-07-2022,1659200318,G01,plaza,c,4,1,4,5295,,,sesion,,2022-07-30 16:58:40,2022-07-30 12:58:40
53535,3,30-07-2022,1659200323,G01,plaza,c,7,3,7,5297,,,sesion,,2022-07-30 16:58:40,2022-07-30 12:58:40
53536,4,30-07-2022,1659200329,G01,plaza,c,5,2,5,5297,,,sesion,,2022-07-30 16:58:50,2022-07-30 12:58:50
53537,5,30-07-2022,1659200334,G01,plaza,c,5,2,5,5298,,,sesion,,2022-07-30 16:58:50,2022-07-30 12:58:50
53538,6,30-07-2022,1659200339,G01,plaza,c,4,2,4,5297,-72.0683767,-45.570954,sesion,,2022-07-30 16:59:00,2022-07-30 12:59:00
53539,7,30-07-2022,1659200345,G01,plaza,c,5,4,5,5297,-72.0683767,-45.570954,sesion,,2022-07-30 16:59:00,2022-07-30 12:59:00
53540,8,30-07-2022,1659200350,G01,plaza,c,6,4,6,5297,-72.0683767,-45.570954,sesion,,2022-07-30 16:59:10,2022-07-30 12:59:10
53541,9,30-07-2022,1659200355,G01,plaza,c,6,4,6,5297,-72.0683767,-45.570954,sesion,,2022-07-30 16:59:20,2022-07-30 12:59:20
53542,10,30-07-2022,1659200360,G01,plaza,c,6,4,6,5295,-72.0683767,-45.570954,sesion,,2022-07-30 16:59:20,2022-07-30 12:59:20
53543,11,30-07-2022,1659200366,G01,plaza,c,6,4,6,5297,-72.0683767,-45.570954,sesion,,2022-07-30 16:59:30,2022-07-30 12:59:30
53544,12,30-07-2022,1659200371,G01,plaza,c,6,3,7,5296,-72.0683767,-45.570954,sesion,,2022-07-30 16:59:30,2022-07-30 12:59:30
53545,13,30-07-2022,1659200376,G01,plaza,c,5,3,6,5297,-72.0683767,-45.570954,sesion,,2022-07-30 16:59:40,2022-07-30 12:59:40
53546,14,30-07-2022,1659200382,G01,plaza,c,5,3,6,5295,-72.0683767,-45.570954,sesion,,2022-07-30 16:59:40,2022-07-30 12:59:40
53547,15,30-07-2022,1659200387,G01,plaza,c,9,5,10,5297,-72.0683767,-45.570954,sesion,,2022-07-30 16:59:50,2022-07-30 12:59:50
53548,16,30-07-2022,1659200392,G01,plaza,c,9,5,11,5297,-72.0683767,-45.570954,sesion,,2022-07-30 16:59:50,2022-07-30 12:59:50
53549,17,30-07-2022,1659200398,G01,plaza,c,10,6,10,5297,-72.0690733,-45.571298399999996,sesion,,2022-07-30 17:00:00,2022-07-30 13:00:00
53550,18,30-07-2022,1659200403,G01,plaza,c,10,7,11,5296,-72.0690733,-45.571298399999996,sesion,,2022-07-30 17:00:00,2022-07-30 13:00:00
53551,19,30-07-2022,1659200408,G01,plaza,c,11,7,11,5295,-72.0690733,-45.571298399999996,sesion,,2022-07-30 17:00:10,2022-07-30 13:00:10
53552,20,30-07-2022,1659200413,G01,plaza,c,7,5,7,5296,-72.0690733,-45.571298399999996,sesion,,2022-07-30 17:00:10,2022-07-30 13:00:10
53553,21,30-07-2022,1659200419,G01,plaza,c,7,5,7,5297,-72.0690733,-45.571298399999996,sesion,,2022-07-30 17:00:20,2022-07-30 13:00:20
53554,22,30-07-2022,1659200424,G01,plaza,c,8,6,9,5298,-72.0690733,-45.571298399999996,sesion,,2022-07-30 17:00:20,2022-07-30 13:00:20
53555,23,30-07-2022,1659200429,G01,plaza,c,11,6,11,5296,-72.0690733,-45.571298399999996,sesion,,2022-07-30 17:00:30,2022-07-30 13:00:30
53556,24,30-07-2022,1659200435,G01,plaza,c,15,7,16,5297,-72.0690733,-45.571298399999996,sesion,,2022-07-30 17:00:40,2022-07-30 13:00:40
53557,25,30-07-2022,1659200440,G01,plaza,c,15,7,15,5297,-72.0690733,-45.571298399999996,sesion,,2022-07-30 17:00:40,2022-07-30 13:00:40
53558,26,30-07-2022,1659200445,G01,plaza,c,13,6,13,5297,-72.0690733,-45.571298399999996,sesion,,2022-07-30 17:00:40,2022-07-30 13:00:40
53559,27,30-07-2022,1659200451,G01,plaza,c,12,6,12,5297,-72.0690733,-45.571298399999996,sesion,,2022-07-30 17:00:50,2022-07-30 13:00:50
53560,28,30-07-2022,1659200456,G01,plaza,c,9,4,9,5296,-72.068883,-45.5712976,sesion,,2022-07-30 17:01:00,2022-07-30 13:01:00
53561,29,30-07-2022,1659200461,G01,plaza,c,7,4,7,5296,-72.068883,-45.5712976,sesion,,2022-07-30 17:01:00,2022-07-30 13:01:00
53562,30,30-07-2022,1659200466,G01,plaza,c,4,3,4,5297,-72.068883,-45.5712976,sesion,,2022-07-30 17:01:10,2022-07-30 13:01:10
